backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,raw_error_rate,idle_error_rate,corrected_error_rate
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.0002,0.59930,0.00000,0.00000
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.0001,0.36560,0.00000,0.00000
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.0005,0.88830,0.00000,0.00000
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.001,0.98550,0.00000,0.00000
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.002,0.99950,0.00000,0.00010
custom_full,300,surface,bposd,11,11,10000,modsi1000,0.0001,0.02810,0.00000,0.00000
custom_full,300,surface,bposd,11,11,10000,modsi1000,0.0002,0.05760,0.00000,0.00000
custom_full,300,color,bposd,11,11,10000,modsi1000,0.0001,0.03990,0.00000,0.00000
custom_full,300,surface,bposd,11,11,10000,modsi1000,0.0005,0.12750,0.00000,0.00000
custom_full,300,color,bposd,11,11,10000,modsi1000,0.0002,0.07370,0.00000,0.00000
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.005,0.99980,0.00000,0.13710
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.0001,0.17840,0.00000,0.00000
custom_full,300,surface,bposd,11,11,10000,modsi1000,0.001,0.22270,0.00000,0.00000
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.01,0.99970,0.00000,0.99890
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.05,0.99990,0.00000,0.99980
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.02,0.99960,0.00000,0.99980
custom_full,300,gross,bposd,12,12,10000,modsi1000,0.1,0.99980,0.00000,0.99970
custom_full,300,color,bposd,11,11,10000,modsi1000,0.0005,0.16600,0.00000,0.00000
custom_full,300,hh,bposd,11,11,10000,modsi1000,0.0001,0.06480,0.00000,0.00000
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.0002,0.30070,0.00000,0.00000
custom_full,300,surface,bposd,11,11,10000,modsi1000,0.002,0.33430,0.00000,0.00000
custom_full,300,hh,bposd,11,11,10000,modsi1000,0.0002,0.11340,0.00000,0.00000
custom_full,300,color,bposd,11,11,10000,modsi1000,0.001,0.28250,0.00000,0.00010
custom_full,300,hh,bposd,11,11,10000,modsi1000,0.0005,0.24980,0.00000,0.00000
