backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,surface,bposd,11,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,100,sd6,0.01,0.010,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,274,surface,bposd,11,1,100,sd6,0.01,0.010,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,100,sd6,0.01,0.020,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,376,surface,bposd,13,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,376,surface,bposd,13,1,100,sd6,0.01,0.010,N/A,N/A,N/A
custom_full,300,surface,bposd,11,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,1000,surface,bposd,21,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,1000,surface,bposd,21,1,100,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,125,steane,bposd,9,9,1,infleqtion,0.01,1.000,N/A,N/A,N/A
custom_full,125,steane,bposd,9,9,1,infleqtion,0.01,0.000,N/A,N/A,N/A
custom_full,40,steane,bposd,3,3,1,infleqtion,0.01,0.000,N/A,N/A,N/A
custom_full,40,steane,bposd,3,3,1,sd6,0.1,1.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,3,1,sd6,0.1,1.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,3,1,sd6,0.02,1.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,3,1,sd6,0.02,1.000,N/A,N/A,N/A
custom_full,100,steane,bposd,9,2,10,sd6,0.0048,0.100,N/A,N/A,N/A
custom_full,40,steane,bposd,3,2,10,sd6,0.0048,0.100,N/A,N/A,N/A
custom_full,40,steane,bposd,3,2,100,sd6,0.01,0.240,N/A,N/A,N/A
custom_full,40,steane,bposd,3,2,100,sd6,0.1,0.450,N/A,N/A,N/A
custom_full,40,steane,bposd,3,2,100,sd6,0.055,0.500,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
custom_full,40,steane,mwpm,3,2,100,sd6,0.001,0.000,N/A,N/A,N/A
