backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon_1_qpu,,surface,bposd,7,7,1000,real_flamingo_downscaled,,0.007,N/A,N/A,N/A
real_loon_1_qpu,,bacon,bposd,9,9,1000,real_flamingo_downscaled,,0.089,N/A,N/A,N/A
real_loon_1_qpu,,bacon,bposd,9,9,1000,real_flamingo,,0.448,N/A,N/A,N/A
real_loon_1_qpu,,hh,bposd,7,7,1000,real_flamingo_downscaled,,0.040,N/A,N/A,N/A
real_loon_1_qpu,,surface,bposd,7,7,1000,real_flamingo,,0.135,N/A,N/A,N/A
real_loon_1_qpu,,hh,bposd,7,7,1000,real_flamingo,,0.280,N/A,N/A,N/A
real_loon_1_qpu,,steane,bposd,9,9,1000,real_flamingo_downscaled,,0.007,N/A,N/A,N/A
real_loon,,steane,bposd,9,9,1000,real_flamingo_downscaled,,0.020,N/A,N/A,N/A
real_loon_1_qpu,,color,bposd,7,7,1000,real_flamingo_downscaled,,0.087,N/A,N/A,N/A
real_loon,,steane,bposd,9,9,1000,real_flamingo,,0.039,N/A,N/A,N/A
real_loon_1_qpu,,steane,bposd,9,9,1000,real_flamingo,,0.047,N/A,N/A,N/A
real_loon_1_qpu,,color,bposd,7,7,1000,real_flamingo,,0.340,N/A,N/A,N/A
real_loon,,surface,bposd,9,9,1000,real_flamingo_downscaled,,0.008,N/A,N/A,N/A
real_loon,,surface,bposd,9,9,1000,real_flamingo,,0.211,N/A,N/A,N/A
real_loon,,hh,bposd,9,9,1000,real_flamingo_downscaled,,0.079,N/A,N/A,N/A
real_loon,,hh,bposd,9,9,1000,real_flamingo,,0.420,N/A,N/A,N/A
real_loon,,color,bposd,9,9,1000,real_flamingo_downscaled,,0.119,N/A,N/A,N/A
real_loon,,color,bposd,9,9,1000,real_flamingo,,0.470,N/A,N/A,N/A
real_loon,,bacon,bposd,15,15,1000,real_flamingo_downscaled,,0.362,N/A,N/A,N/A
real_loon,,bacon,bposd,15,15,1000,real_flamingo,,0.491,N/A,N/A,N/A
