backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,26,surface,mwpm,3,7,100000,real_heron_0.25_1,,0.020950,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_0.5_1,,0.021770,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1.0_1,,0.024400,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_0.25_1,,0.012330,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_2.0_1,,0.033480,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_4.0_1,,0.057950,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.25,,0.024810,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_0.5_1,,0.014040,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.5,,0.024320,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_0.75,,0.025180,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_0.25_1,,0.007760,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1.0_1,,0.015490,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1.0,,0.025020,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1.5,,0.024890,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_2.0,,0.026270,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_2.0_1,,0.023440,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_0.5_1,,0.008170,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_4.0_1,,0.048450,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.25,,0.015180,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.5,,0.015480,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1.0_1,,0.010870,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_0.75,,0.015900,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1.0,,0.015650,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_2.0_1,,0.018320,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1.5,,0.016080,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_2.0,,0.016820,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_4.0_1,,0.046670,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.25,,0.010850,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.5,,0.010420,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_0.75,,0.010800,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1.0,,0.010580,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1.5,,0.011870,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_2.0,,0.012040,N/A,N/A,N/A
