backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.25_1,,0.008140,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.25_1,,0.001490,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_0.5_1,,0.008940,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.25_1,,0.039670,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1.0_1,,0.012670,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.25_1,,0.035700,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_0.5_1,,0.001740,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.25_1,,0.001320,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2.0_1,,0.019830,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_0.5_1,,0.041180,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1.0_1,,0.003050,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4.0_1,,0.041990,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_0.5_1,,0.037540,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.25,,0.012360,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1.0_1,,0.045320,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_2.0_1,,0.007330,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.25_1,,0.013330,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_0.5_1,,0.001580,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.5,,0.012170,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_0.75,,0.012100,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1.0_1,,0.041600,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.0,,0.012260,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_2.0_1,,0.056120,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_4.0_1,,0.026690,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_0.25_1,,0.019150,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1.5,,0.012770,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1.0_1,,0.002150,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.25,,0.003060,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_2.0,,0.012440,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_2.0_1,,0.053410,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.5,,0.003060,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_4.0_1,,0.084600,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_0.5_1,,0.014570,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_0.75,,0.003020,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_2.0_1,,0.005170,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.25,,0.046110,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_0.25_1,,0.005720,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1.0,,0.002960,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_4.0_1,,0.080300,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.5,,0.045900,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1.5,,0.003000,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_0.5_1,,0.020860,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.25,,0.042200,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_2.0,,0.002850,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_0.75,,0.045920,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_1.0_1,,0.017270,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_4.0_1,,0.021770,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_1.0,,0.045690,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.5,,0.042430,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_0.25_1,,0.007950,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_1.5,,0.045780,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.25,,0.002510,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_0.75,,0.042150,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,35,100000,real_flamingo_1_2.0,,0.046980,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_1.0,,0.042660,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.5,,0.002290,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_2.0_1,,0.025790,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_1.0_1,,0.025350,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,35,100000,real_flamingo_0.5_1,,0.006590,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_1.5,,0.042490,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_0.75,,0.002350,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,50,100000,real_flamingo_1_2.0,,0.043280,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1.0,,0.002240,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1.5,,0.002320,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,35,100000,real_flamingo_4.0_1,,0.051680,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,50,100000,real_flamingo_2.0_1,,0.033810,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,50,100000,real_flamingo_0.5_1,,0.009170,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_2.0,,0.002740,N/A,N/A,N/A
