backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_1,,0.023320,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_2_1,,0.034730,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_4_1,,0.060670,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_6_1,,0.093270,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_2_1,,0.032190,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1,,0.029130,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_8_1,,0.129480,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_4_1,,0.057110,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_6_1,,0.099540,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_8_1,,0.128290,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1,,0.016090,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_2_1,,0.024470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_4_1,,0.059210,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_1,,0.070520,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_6_1,,0.092210,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_2_1,,0.088470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_8_1,,0.146920,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_4_1,,0.133040,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_6_1,,0.184290,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_8_1,,0.236660,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1,,0.013630,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_2_1,,0.020770,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_4_1,,0.057650,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_6_1,,0.111490,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_8_1,,0.180680,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_1,,0.262990,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_2_1,,0.289290,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_4_1,,0.339120,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_6_1,,0.386640,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_8_1,,0.420380,N/A,N/A,N/A
