backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1,,0.013650,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_2_1,,0.018900,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_4_1,,0.040700,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_6_1,,0.071490,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_1_1,,0.017900,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_2_1,,0.024420,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_8_1,,0.107600,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_4_1,,0.048960,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_6_1,,0.074950,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1,,0.003010,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_8_1,,0.115440,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_2_1,,0.007540,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_4_1,,0.026040,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_1_1,,0.005220,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_6_1,,0.062680,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_2_1,,0.011860,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_8_1,,0.107690,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_4_1,,0.033140,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1,,0.002300,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_6_1,,0.067820,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_2_1,,0.006930,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_8_1,,0.110060,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_4_1,,0.024900,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_1_1,,0.005910,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_6_1,,0.062990,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_2_1,,0.008320,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_8_1,,0.123520,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_1_1,,0.003590,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_4_1,,0.029900,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_2_1,,0.007360,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_6_1,,0.068530,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_4_1,,0.030600,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_1_1,,0.003740,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_8_1,,0.126060,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_6_1,,0.079970,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_2_1,,0.008000,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_8_1,,0.154740,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_4_1,,0.028930,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_6_1,,0.072400,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_8_1,,0.147950,N/A,N/A,N/A
