backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_2,,0.024720,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_1,,0.024130,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_3,,0.023990,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_4,,0.023270,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_8,,0.024040,N/A,N/A,N/A
real_mcm_ideal,26,surface,mwpm,3,7,100000,real_heron_1_6,,0.023910,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_6,,0.017910,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_3,,0.027580,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_2,,0.031640,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_4,,0.023740,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1,,0.030060,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_8,,0.031850,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_6,,0.019590,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_3,,0.018940,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_4,,0.020880,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_8,,0.021570,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1,,0.020690,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_2,,0.027400,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_8,,0.070480,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_4,,0.071150,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_1,,0.071850,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_6,,0.070500,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_2,,0.070000,N/A,N/A,N/A
real_mcm_ideal,64,surface,mwpm,5,7,100000,real_heron_1_3,,0.071440,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1,,0.015430,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_3,,0.014280,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_8,,0.013490,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_4,,0.014530,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_6,,0.015180,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_2,,0.019050,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_8,,0.264310,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_3,,0.261780,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_1,,0.262850,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_4,,0.264680,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_6,,0.264950,N/A,N/A,N/A
real_mcm_ideal,118,surface,mwpm,7,7,100000,real_heron_1_2,,0.260400,N/A,N/A,N/A
