backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_10,,0.013580,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_20,,0.013510,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_5,,0.011720,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_1,,0.015960,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,7,100000,real_flamingo_1_40,,0.012910,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_1_1,,0.015350,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_1_10,,0.015910,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_1_20,,0.016440,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_1_40,,0.017380,N/A,N/A,N/A
real_loon,26,surface,mwpm,3,11,100000,real_flamingo_1_5,,0.017520,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_10,,0.003290,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_1,,0.002970,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_20,,0.002900,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_40,,0.003190,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_1_1,,0.004470,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_1_40,,0.004260,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_1_5,,0.006180,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_1_10,,0.006130,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,11,100000,real_flamingo_1_20,,0.005500,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_40,,0.002350,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_5,,0.003130,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_20,,0.003050,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_1,,0.003690,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,7,100000,real_flamingo_1_10,,0.003370,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_1_5,,0.002930,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_1_40,,0.003710,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_1_20,,0.004110,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_1_1,,0.004090,N/A,N/A,N/A
real_loon,118,surface,mwpm,7,11,100000,real_flamingo_1_10,,0.004790,N/A,N/A,N/A
real_loon,64,surface,mwpm,5,7,100000,real_flamingo_1_5,,0.002990,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_1_5,,0.003190,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_1_20,,0.004110,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_1_40,,0.003580,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_1_10,,0.004180,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,7,100000,real_flamingo_1_1,,0.003990,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_1_10,,0.004150,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_1_40,,0.004500,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_1_5,,0.005110,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_1_20,,0.004920,N/A,N/A,N/A
real_loon,188,surface,mwpm,9,11,100000,real_flamingo_1_1,,0.005280,N/A,N/A,N/A
