backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,26,surface,mwpm,3,100,100000,real_heron_1_4,,0.123560,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,100,100000,real_heron_1_6,,0.115580,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,100,100000,real_heron_1_2,,0.133680,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,100,100000,real_heron_1_1,,0.134110,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,100,100000,real_heron_1_3,,0.155450,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,100,100000,real_heron_1_8,,0.153050,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,200,100000,real_heron_1_4,,0.216310,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,200,100000,real_heron_1_2,,0.229080,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,200,100000,real_heron_1_3,,0.243800,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,200,100000,real_heron_1_6,,0.238480,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,200,100000,real_heron_1_1,,0.259200,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,200,100000,real_heron_1_8,,0.233080,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,100,100000,real_heron_1_3,,0.065080,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,100,100000,real_heron_1_1,,0.069500,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,100,100000,real_heron_1_2,,0.080120,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,100,100000,real_heron_1_4,,0.087880,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,100,100000,real_heron_1_6,,0.081430,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,100,100000,real_heron_1_8,,0.072070,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,500,100000,real_heron_1_2,,0.398290,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,500,100000,real_heron_1_1,,0.404710,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,500,100000,real_heron_1_3,,0.409900,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,500,100000,real_heron_1_4,,0.411950,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,500,100000,real_heron_1_6,,0.414180,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,500,100000,real_heron_1_8,,0.412140,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,200,100000,real_heron_1_2,,0.112470,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,200,100000,real_heron_1_1,,0.124480,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,200,100000,real_heron_1_4,,0.142750,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,200,100000,real_heron_1_3,,0.150760,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,200,100000,real_heron_1_6,,0.163020,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,200,100000,real_heron_1_8,,0.160060,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,100,100000,real_heron_1_1,,0.038770,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,100,100000,real_heron_1_8,,0.045380,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,100,100000,real_heron_1_2,,0.050830,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,100,100000,real_heron_1_6,,0.044680,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,100,100000,real_heron_1_4,,0.057760,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,100,100000,real_heron_1_3,,0.060510,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,200,100000,real_heron_1_1,,0.053620,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,200,100000,real_heron_1_2,,0.057340,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,200,100000,real_heron_1_4,,0.072000,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,200,100000,real_heron_1_3,,0.070880,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,200,100000,real_heron_1_6,,0.072260,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,500,100000,real_heron_1_2,,0.228640,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,500,100000,real_heron_1_1,,0.236350,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,200,100000,real_heron_1_8,,0.087850,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,500,100000,real_heron_1_3,,0.239710,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,500,100000,real_heron_1_4,,0.263720,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,500,100000,real_heron_1_6,,0.308880,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,500,100000,real_heron_1_8,,0.302720,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,500,100000,real_heron_1_2,,0.121470,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,500,100000,real_heron_1_1,,0.133580,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,500,100000,real_heron_1_3,,0.143630,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,500,100000,real_heron_1_4,,0.144740,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,500,100000,real_heron_1_6,,0.141890,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,500,100000,real_heron_1_8,,0.173460,N/A,N/A,N/A
