backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_3,,0.010560,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_8,,0.014940,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1,,0.013420,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_4,,0.012220,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_2,,0.017470,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_6,,0.015270,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_2,,0.011610,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_4,,0.011880,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_6,,0.008550,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_3,,0.014340,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_8,,0.016630,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1,,0.010640,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_1,,0.015220,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_2,,0.018440,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_8,,0.016030,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_4,,0.020920,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_6,,0.020290,N/A,N/A,N/A
real_heron,26,surface,mwpm,3,7,100000,real_heron_1_3,,0.026040,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_8,,0.011550,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_2,,0.010830,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_4,,0.013050,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_1,,0.012570,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_3,,0.009840,N/A,N/A,N/A
real_heron,64,surface,mwpm,5,7,100000,real_heron_1_6,,0.017790,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_2,,0.007030,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_4,,0.007400,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_1,,0.007200,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_3,,0.008860,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_8,,0.011090,N/A,N/A,N/A
real_heron,118,surface,mwpm,7,7,100000,real_heron_1_6,,0.009390,N/A,N/A,N/A
