backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_scale,error_probability,logical_error_rate,layout_method,routing_method,translating_method,gate_overhead,tq_gate_overhead,swap_overhead
real_nighthawk,,steane,bposd,9,9,100,real_flamingo,1,,0.060000,N/A,sabre,N/A,7613,5549,5549
real_nighthawk,,gross,bposd,12,12,100,real_flamingo,1,,0.010000,N/A,sabre,N/A,27519,18463,18463
real_nighthawk,,steane,bposd,9,9,100,real_flamingo,1,,0.090000,N/A,basic,N/A,7903,5699,5699
real_nighthawk,,hh,bposd,9,9,100,real_flamingo,1,,0.010000,N/A,sabre,N/A,9432,5948,5948
real_nighthawk,,hh,bposd,9,9,100,real_flamingo,1,,0.000000,N/A,basic,N/A,11361,7969,7969
real_nighthawk,,surface,bposd,11,11,100,real_flamingo,1,,0.000000,N/A,sabre,N/A,12189,7913,7913
real_nighthawk,,gross,bposd,12,12,100,real_flamingo,1,,0.320000,N/A,basic,N/A,37216,27288,27288
real_nighthawk,,surface,bposd,11,11,100,real_flamingo,1,,0.000000,N/A,basic,N/A,16167,11779,11779
real_nighthawk,,color,bposd,11,11,100,real_flamingo,1,,0.000000,N/A,sabre,N/A,14212,9592,9592
real_nighthawk,,color,bposd,11,11,100,real_flamingo,1,,0.030000,N/A,basic,N/A,16970,11918,11918
real_nighthawk,,steane,bposd,9,9,100,real_flamingo,10,,0.030000,N/A,sabre,N/A,7680,5708,5708
real_nighthawk,,steane,bposd,9,9,100,real_flamingo,10,,0.040000,N/A,basic,N/A,7903,5699,5699
real_nighthawk,,gross,bposd,12,12,100,real_flamingo,10,,0.000000,N/A,sabre,N/A,27903,18459,18459
real_nighthawk,,gross,bposd,12,12,100,real_flamingo,10,,0.030000,N/A,basic,N/A,37216,27288,27288
real_nighthawk,,hh,bposd,9,9,100,real_flamingo,10,,0.010000,N/A,sabre,N/A,9261,5969,5969
real_nighthawk,,hh,bposd,9,9,100,real_flamingo,10,,0.000000,N/A,basic,N/A,11361,7969,7969
real_nighthawk,,surface,bposd,11,11,100,real_flamingo,10,,0.000000,N/A,sabre,N/A,12315,8007,8007
real_nighthawk,,surface,bposd,11,11,100,real_flamingo,10,,0.000000,N/A,basic,N/A,16167,11779,11779
real_nighthawk,,color,bposd,11,11,100,real_flamingo,10,,0.000000,N/A,sabre,N/A,14165,9621,9621
real_nighthawk,,color,bposd,11,11,100,real_flamingo,10,,0.000000,N/A,basic,N/A,16970,11918,11918
