backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,350,gross,bposd,12,12,1000,constant,0.004,0.018,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,constant,0.004,0.027,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,constant,0.004,0.024,N/A,N/A,N/A
custom_full,300,gross,bposd,12,12,1000,modsi1000,0.004,0.025,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,constant,0.004,0.027,N/A,N/A,N/A
custom_full,350,gross,bposd,12,12,1000,modsi1000,0.004,0.029,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,constant,0.004,0.026,N/A,N/A,N/A
custom_full,450,gross,bposd,12,12,1000,modsi1000,0.004,0.029,N/A,N/A,N/A
custom_full,400,gross,bposd,12,12,1000,modsi1000,0.004,0.021,N/A,N/A,N/A
custom_full,500,gross,bposd,12,12,1000,modsi1000,0.004,0.024,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,modsi1000,0.004,0.075,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,modsi1000,0.004,0.089,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,modsi1000,0.004,0.073,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,modsi1000,0.004,0.053,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,modsi1000,0.004,0.087,N/A,N/A,N/A
custom_full,400,steane,bposd,9,9,1000,constant,0.004,0.304,N/A,N/A,N/A
custom_full,300,steane,bposd,9,9,1000,constant,0.004,0.271,N/A,N/A,N/A
custom_full,500,steane,bposd,9,9,1000,constant,0.004,0.287,N/A,N/A,N/A
custom_full,350,steane,bposd,9,9,1000,constant,0.004,0.266,N/A,N/A,N/A
custom_full,450,steane,bposd,9,9,1000,constant,0.004,0.318,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,modsi1000,0.004,0.004,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,modsi1000,0.004,0.002,N/A,N/A,N/A
custom_full,350,surface,bposd,11,11,1000,constant,0.004,0.008,N/A,N/A,N/A
custom_full,300,surface,bposd,11,11,1000,constant,0.004,0.007,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,modsi1000,0.004,0.145,N/A,N/A,N/A
custom_full,400,hh,bposd,11,11,1000,modsi1000,0.004,0.127,N/A,N/A,N/A
custom_full,350,hh,bposd,11,11,1000,modsi1000,0.004,0.132,N/A,N/A,N/A
custom_full,400,hh,bposd,11,11,1000,constant,0.004,0.416,N/A,N/A,N/A
custom_full,300,hh,bposd,11,11,1000,constant,0.004,0.450,N/A,N/A,N/A
custom_full,350,hh,bposd,11,11,1000,constant,0.004,0.446,N/A,N/A,N/A
custom_full,300,color,bposd,11,11,1000,modsi1000,0.004,0.062,N/A,N/A,N/A
custom_full,350,color,bposd,11,11,1000,modsi1000,0.004,0.068,N/A,N/A,N/A
custom_full,300,color,bposd,11,11,1000,constant,0.004,0.166,N/A,N/A,N/A
custom_full,350,color,bposd,11,11,1000,constant,0.004,0.150,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,constant,0.004,0.495,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,constant,0.004,0.530,N/A,N/A,N/A
custom_full,450,surface,bposd,13,13,1000,modsi1000,0.004,0.002,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,modsi1000,0.004,0.503,N/A,N/A,N/A
custom_full,400,surface,bposd,13,13,1000,modsi1000,0.004,0.000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.004,0.495,N/A,N/A,N/A
custom_full,400,surface,bposd,13,13,1000,constant,0.004,0.006,N/A,N/A,N/A
custom_full,450,surface,bposd,13,13,1000,constant,0.004,0.006,N/A,N/A,N/A
custom_full,500,hh,bposd,13,13,1000,modsi1000,0.004,0.128,N/A,N/A,N/A
custom_full,450,hh,bposd,13,13,1000,modsi1000,0.004,0.137,N/A,N/A,N/A
custom_full,450,hh,bposd,13,13,1000,constant,0.004,0.453,N/A,N/A,N/A
custom_full,500,hh,bposd,13,13,1000,constant,0.004,0.489,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,19,1000,constant,0.004,0.494,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,19,1000,modsi1000,0.004,0.512,N/A,N/A,N/A
custom_full,400,color,bposd,13,13,1000,modsi1000,0.004,0.095,N/A,N/A,N/A
custom_full,500,surface,bposd,15,15,1000,modsi1000,0.004,0.000,N/A,N/A,N/A
custom_full,500,surface,bposd,15,15,1000,constant,0.004,0.005,N/A,N/A,N/A
custom_full,450,color,bposd,13,13,1000,modsi1000,0.004,0.091,N/A,N/A,N/A
custom_full,450,color,bposd,13,13,1000,constant,0.004,0.159,N/A,N/A,N/A
custom_full,400,color,bposd,13,13,1000,constant,0.004,0.197,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,1000,constant,0.004,0.517,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,21,1000,modsi1000,0.004,0.509,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,1000,modsi1000,0.004,0.505,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,21,1000,constant,0.004,0.519,N/A,N/A,N/A
custom_full,500,color,bposd,15,15,1000,modsi1000,0.004,0.087,N/A,N/A,N/A
custom_full,500,color,bposd,15,15,1000,constant,0.004,0.190,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,constant,0.002,0.001,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,1000,modsi1000,0.002,0.014,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,19,1000,constant,0.002,0.001,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,modsi1000,0.002,0.015,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,21,1000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,1000,constant,0.002,0.003,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,17,1000,modsi1000,0.008,0.401,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,21,1000,modsi1000,0.002,0.020,N/A,N/A,N/A
