backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,98,steane,bposd,9,9,1,sd6,0.004,0.000,N/A,N/A,N/A
custom_full,98,steane,bposd,9,9,1,sd6,0.004,0.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,1,sd6,0.004,0.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,1,sd6,0.404,0.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,1,sd6,0.404,0.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,10,sd6,0.404,0.600,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,100,sd6,0.404,0.480,N/A,N/A,N/A
custom_full,98,steane,bposd,9,9,10,sd6,0.404,0.500,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,1,modsi1000,0.004,0.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,1,sd6,0.05,0.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,1,sd6,0.05,1.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,3,10,sd6,0.05,0.200,N/A,N/A,N/A
custom_full,98,steane,bposd,9,9,1,sd6,0.05,1.000,N/A,N/A,N/A
custom_full,98,steane,bposd,9,9,1,sd6,0.05,0.000,N/A,N/A,N/A
custom_full,98,steane,bposd,9,2,1,sd6,0.05,0.000,N/A,N/A,N/A
custom_full,98,steane,bposd,9,10,1,sd6,0.05,0.000,N/A,N/A,N/A
custom_full,98,steane,bposd,9,2,10,sd6,0.05,0.300,N/A,N/A,N/A
custom_full,14,steane,bposd,3,2,10,sd6,0.05,0.200,N/A,N/A,N/A
custom_full,98,steane,bposd,9,2,10,sd6,0.05,0.600,N/A,N/A,N/A
custom_full,98,steane,bposd,9,2,1,sd6,0.05,1.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,2,1,sd6,0.05,1.000,N/A,N/A,N/A
custom_full,14,steane,bposd,3,2,10,sd6,0.05,0.300,N/A,N/A,N/A
custom_full,98,steane,bposd,9,2,10,sd6,0.05,0.200,N/A,N/A,N/A
custom_full,686,steane,bposd,27,2,1,sd6,0.005,0.000,N/A,N/A,N/A
