backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_infleqtion,,gross,bposd,12,12,1000,modsi1000,0.004,0.019,N/A,N/A,N/A
real_apollo,,gross,bposd,12,12,1000,modsi1000,0.004,0.024,N/A,N/A,N/A
real_infleqtion,,steane,bposd,9,9,1000,modsi1000,0.004,0.065,N/A,N/A,N/A
real_infleqtion,,hh,bposd,11,11,1000,modsi1000,0.004,0.141,N/A,N/A,N/A
real_infleqtion,,surface,bposd,13,13,1000,modsi1000,0.004,0.003,N/A,N/A,N/A
real_nsinfleqtion,,steane,bposd,9,9,1000,modsi1000,0.004,0.049,N/A,N/A,N/A
real_willow,,steane,bposd,9,9,1000,modsi1000,0.004,0.073,N/A,N/A,N/A
real_infleqtion,,bacon,bposd,19,19,1000,modsi1000,0.004,0.509,N/A,N/A,N/A
real_infleqtion,,color,bposd,13,13,1000,modsi1000,0.004,0.144,N/A,N/A,N/A
real_nsinfleqtion,,gross,bposd,12,12,1000,modsi1000,0.004,0.999,N/A,N/A,N/A
real_willow,,gross,bposd,12,12,1000,modsi1000,0.004,0.999,N/A,N/A,N/A
real_apollo,,surface,bposd,17,17,1000,modsi1000,0.004,0.000,N/A,N/A,N/A
real_willow,,surface,bposd,11,11,1000,modsi1000,0.004,0.490,N/A,N/A,N/A
real_nsinfleqtion,,hh,bposd,11,11,1000,modsi1000,0.004,0.507,N/A,N/A,N/A
real_willow,,bacon,bposd,17,17,1000,modsi1000,0.004,0.496,N/A,N/A,N/A
real_apollo,,hh,bposd,17,17,1000,modsi1000,0.004,0.162,N/A,N/A,N/A
real_willow,,hh,bposd,11,11,1000,modsi1000,0.004,0.486,N/A,N/A,N/A
real_nsinfleqtion,,bacon,bposd,19,19,1000,modsi1000,0.004,0.482,N/A,N/A,N/A
real_willow,,color,bposd,11,11,1000,modsi1000,0.004,0.522,N/A,N/A,N/A
real_apollo,,color,bposd,17,17,1000,modsi1000,0.004,0.172,N/A,N/A,N/A
real_nsinfleqtion,,surface,bposd,13,13,1000,modsi1000,0.004,0.480,N/A,N/A,N/A
real_apollo,,bacon,bposd,27,27,1000,modsi1000,0.004,0.518,N/A,N/A,N/A
real_nsinfleqtion,,color,bposd,13,13,1000,modsi1000,0.004,0.497,N/A,N/A,N/A
real_apollo,,steane,bposd,27,27,1000,modsi1000,0.004,0.437,N/A,N/A,N/A
