backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_grid,512,hh,bposd,13,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.01,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.01,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.1,0.264,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_cube,512,surface,bposd,13,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.01,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_grid,512,gross,bposd,242,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_cube,512,gross,bposd,171,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.1,0.373,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_grid,512,surface,bposd,15,1,10000,pm3,0.0001,0.000,N/A,N/A,N/A
custom_cube,512,gross,bposd,171,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_cube,512,hh,bposd,11,1,10000,pm3,0.1,0.315,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.001,0.000,N/A,N/A,N/A
custom_grid,512,hh,bposd,13,1,10000,pm3,0.01,0.000,N/A,N/A,N/A
