backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,729,gross,bposd,364,1,1000,pm3,0.01,0.070,N/A,N/A,N/A
custom_full,729,gross,bposd,364,1,1000,sd6,0.01,0.080,N/A,N/A,N/A
custom_full,729,surface,bposd,15,1,1000,sd6,0.01,0.002,N/A,N/A,N/A
custom_full,729,surface,bposd,15,1,1000,pm3,0.01,0.000,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,1,1000,pm3,0.01,0.373,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,1,1000,sd6,0.01,0.376,N/A,N/A,N/A
custom_cube,729,bacon,bposd,21,1,1000,pm3,0.01,0.482,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,1,1000,sd6,0.01,0.393,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,1,1000,pm3,0.01,0.371,N/A,N/A,N/A
custom_full,729,color,bposd,17,1,1000,sd6,0.01,0.015,N/A,N/A,N/A
custom_full,729,color,bposd,17,1,1000,pm3,0.01,0.012,N/A,N/A,N/A
custom_line,729,bacon,bposd,27,1,1000,pm3,0.01,0.476,N/A,N/A,N/A
custom_line,729,surface,bposd,15,1,1000,pm3,0.01,0.458,N/A,N/A,N/A
custom_grid,729,surface,bposd,15,1,1000,pm3,0.01,0.134,N/A,N/A,N/A
custom_cube,729,surface,bposd,15,1,1000,pm3,0.01,0.107,N/A,N/A,N/A
custom_line,729,gross,bposd,364,1,1000,pm3,0.01,1.000,N/A,N/A,N/A
custom_cube,729,steane,bposd,9,1,1000,pm3,0.01,0.422,N/A,N/A,N/A
custom_cube,729,color,bposd,15,1,1000,pm3,0.01,0.438,N/A,N/A,N/A
custom_line,729,color,bposd,17,1,1000,pm3,0.01,0.513,N/A,N/A,N/A
custom_grid,729,color,bposd,17,1,1000,pm3,0.01,0.506,N/A,N/A,N/A
custom_cube,729,gross,bposd,256,1,1000,pm3,0.01,1.000,N/A,N/A,N/A
custom_grid,729,gross,bposd,364,1,1000,pm3,0.01,1.000,N/A,N/A,N/A
