backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,729,steane,bposd,27,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,em3_1,0.015,0.000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,em3_1,0.015,0.000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,em3_2,0.05,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,sd6,0.015,0.000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,sd6,0.05,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,sd6,0.01,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,em3_1,0.05,0.000,N/A,N/A,N/A
custom_full,729,steane,bposd,27,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,em3_2,0.015,0.001,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,em3_2,0.05,0.252,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,em3_2,0.05,0.239,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,em3_2,0.05,0.870,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,em3_1,0.05,0.990,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,em3_1,0.05,0.485,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,em3_1,0.05,0.511,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,em3_1,0.01,0.001,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,em3_2,0.015,0.002,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,sd6,0.01,0.630,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,em3_1,0.015,0.003,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,sd6,0.015,0.990,N/A,N/A,N/A
custom_full,729,gross,bposd,364,3,1000,sd6,0.05,1.000,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,em3_2,0.015,0.003,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,em3_1,0.015,0.009,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,em3_2,0.05,0.459,N/A,N/A,N/A
custom_full,729,color,bposd,17,3,1000,em3_1,0.05,0.527,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,em3_1,0.05,0.481,N/A,N/A,N/A
custom_full,729,surface,bposd,18,3,1000,em3_2,0.05,0.503,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,em3_1,0.015,0.458,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,em3_1,0.015,0.464,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,em3_1,0.01,0.325,N/A,N/A,N/A
custom_full,729,bacon,bposd,27,3,1000,em3_1,0.01,0.328,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,em3_2,0.01,0.339,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,em3_1,0.01,0.409,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,em3_1,0.015,0.495,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,em3_2,0.015,0.501,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,em3_1,0.05,0.504,N/A,N/A,N/A
custom_full,729,hh,bposd,17,3,1000,em3_2,0.05,0.473,N/A,N/A,N/A
custom_grid,729,bacon,bposd,27,3,1000,sd6,0.015,0.493,N/A,N/A,N/A
