backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,400,steane,bposd,9,3,1000,modsi1000,0.005,0.151,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,modsi1000,0.005,0.157,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,modsi1000,0.005,0.145,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,modsi1000,0.005,0.160,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,modsi1000,0.005,0.149,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,modsi1000,0.01,0.253,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,modsi1000,0.01,0.247,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,modsi1000,0.01,0.232,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,modsi1000,0.01,0.250,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,modsi1000,0.01,0.247,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,modsi1000,0.01,0.502,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,modsi1000,0.01,0.532,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,modsi1000,0.01,0.491,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,modsi1000,0.005,0.598,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,modsi1000,0.005,0.628,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,modsi1000,0.005,0.615,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,modsi1000,0.005,0.636,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,modsi1000,0.005,0.630,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,modsi1000,0.01,0.496,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,modsi1000,0.01,0.495,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,modsi1000,0.005,0.439,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,modsi1000,0.005,0.418,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,modsi1000,0.01,1.000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,modsi1000,0.01,0.999,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,modsi1000,0.01,1.000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,modsi1000,0.01,1.000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,modsi1000,0.01,1.000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,modsi1000,0.005,0.432,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,modsi1000,0.005,0.032,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,modsi1000,0.005,0.500,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,modsi1000,0.005,0.454,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,modsi1000,0.01,0.274,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,modsi1000,0.005,0.019,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,modsi1000,0.005,0.267,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,modsi1000,0.005,0.282,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,modsi1000,0.005,0.274,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,modsi1000,0.01,0.479,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,modsi1000,0.01,0.517,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,modsi1000,0.01,0.494,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,modsi1000,0.01,0.276,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,modsi1000,0.005,0.027,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,modsi1000,0.01,0.292,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,modsi1000,0.005,0.016,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,modsi1000,0.005,0.127,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,modsi1000,0.005,0.115,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,modsi1000,0.005,0.278,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,modsi1000,0.005,0.311,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,modsi1000,0.01,0.507,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,modsi1000,0.01,0.491,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,modsi1000,0.01,0.283,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,modsi1000,0.01,0.450,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,modsi1000,0.005,0.009,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,modsi1000,0.01,0.465,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,modsi1000,0.01,0.311,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,modsi1000,0.005,0.120,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,modsi1000,0.005,0.130,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,modsi1000,0.01,0.456,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,modsi1000,0.01,0.501,N/A,N/A,N/A
