backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,gross,bposd,150,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,em3_1,0.015,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_1,0.015,0.000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,em3_1,0.015,0.020,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_2,0.05,0.372,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_2,0.05,0.348,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_1,0.015,0.000,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_1,0.01,0.000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_1,0.015,0.000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_2,0.01,0.105,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_1,0.05,0.366,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_1,0.01,0.117,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_2,0.01,0.098,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_2,0.015,0.154,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_2,0.05,0.333,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_2,0.05,0.377,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_2,0.015,0.170,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_2,0.01,0.116,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_2,0.01,0.102,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_2,0.05,0.336,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,em3_1,0.015,0.163,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_1,0.05,0.382,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,em3_2,0.015,0.004,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_1,0.01,0.096,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_1,0.05,0.362,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_2,0.015,0.138,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_2,0.01,0.103,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,em3_1,0.015,0.162,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_2,0.015,0.136,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_2,0.015,0.164,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_1,0.05,0.371,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_1,0.01,0.126,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,em3_1,0.015,0.165,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_1,0.05,0.377,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_1,0.01,0.129,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_1,0.01,0.105,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,em3_1,0.015,0.151,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,em3_1,0.015,0.159,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,em3_2,0.05,0.172,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,em3_2,0.05,0.178,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,em3_2,0.01,0.001,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,em3_1,0.01,0.003,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,em3_2,0.015,0.000,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,em3_2,0.01,0.003,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,em3_2,0.05,0.172,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,em3_1,0.05,0.524,N/A,N/A,N/A
custom_full,400,color,bposd,13,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,em3_1,0.01,0.002,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,em3_2,0.05,0.192,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,em3_2,0.015,0.009,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,em3_2,0.05,0.205,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,em3_1,0.01,0.003,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,em3_1,0.05,0.517,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,em3_2,0.05,0.920,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,em3_2,0.01,0.000,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,em3_1,0.05,0.524,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,em3_1,0.015,0.023,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,em3_2,0.015,0.009,N/A,N/A,N/A
custom_full,450,color,bposd,13,3,1000,em3_1,0.01,0.002,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,em3_1,0.015,0.029,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,em3_1,0.015,0.027,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,sd6,0.05,0.515,N/A,N/A,N/A
