backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,gross,bposd,150,3,1000,pc3,0.005,0.010,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,pc3,0.005,0.030,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,pc3,0.005,0.010,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,pc3,0.005,0.030,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,pc3,0.005,0.020,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,si1000,0.005,0.147,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,si1000,0.005,0.130,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,si1000,0.005,0.149,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,si1000,0.005,0.125,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,si1000,0.005,0.143,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,pc3,0.005,0.153,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,pc3,0.005,0.178,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,pc3,0.005,0.178,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,pc3,0.005,0.157,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,pc3,0.005,0.146,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,si1000,0.01,0.232,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,si1000,0.01,0.241,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,si1000,0.01,0.265,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,si1000,0.01,0.250,N/A,N/A,N/A
custom_full,350,steane,bposd,9,3,1000,pc3,0.01,0.262,N/A,N/A,N/A
custom_full,300,steane,bposd,9,3,1000,pc3,0.01,0.263,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,si1000,0.01,0.254,N/A,N/A,N/A
custom_full,400,steane,bposd,9,3,1000,pc3,0.01,0.265,N/A,N/A,N/A
custom_full,450,steane,bposd,9,3,1000,pc3,0.01,0.295,N/A,N/A,N/A
custom_full,500,steane,bposd,9,3,1000,pc3,0.01,0.273,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.01,0.499,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.01,0.512,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,pc3,0.01,0.590,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.005,0.600,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.005,0.600,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.005,0.660,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,pc3,0.01,0.630,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.005,0.650,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,pc3,0.01,0.620,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,pc3,0.01,0.620,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.005,0.690,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.01,0.486,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,pc3,0.01,0.680,N/A,N/A,N/A
custom_full,350,gross,bposd,175,3,1000,si1000,0.01,1.000,N/A,N/A,N/A
custom_full,300,gross,bposd,150,3,1000,si1000,0.01,1.000,N/A,N/A,N/A
custom_full,450,gross,bposd,225,3,1000,si1000,0.01,1.000,N/A,N/A,N/A
custom_full,400,gross,bposd,200,3,1000,si1000,0.01,1.000,N/A,N/A,N/A
custom_full,500,gross,bposd,250,3,1000,si1000,0.01,1.000,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.01,0.506,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,si1000,0.005,0.455,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.01,0.488,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,si1000,0.005,0.452,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,si1000,0.005,0.442,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,pc3,0.01,0.477,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,pc3,0.01,0.474,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,pc3,0.005,0.006,N/A,N/A,N/A
custom_full,350,bacon,bposd,17,3,1000,pc3,0.005,0.249,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,3,1000,pc3,0.005,0.277,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.005,0.017,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,si1000,0.005,0.495,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,si1000,0.005,0.468,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,pc3,0.01,0.133,N/A,N/A,N/A
custom_full,300,surface,bposd,11,3,1000,si1000,0.01,0.264,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,pc3,0.01,0.475,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,pc3,0.005,0.004,N/A,N/A,N/A
custom_full,400,bacon,bposd,19,3,1000,pc3,0.005,0.278,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.005,0.022,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,pc3,0.005,0.195,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,si1000,0.005,0.268,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,pc3,0.005,0.216,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,si1000,0.005,0.268,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,si1000,0.005,0.301,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,pc3,0.005,0.202,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,si1000,0.01,0.494,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,si1000,0.01,0.473,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,si1000,0.01,0.521,N/A,N/A,N/A
custom_full,400,hh,bposd,11,3,1000,pc3,0.01,0.465,N/A,N/A,N/A
custom_full,300,hh,bposd,11,3,1000,pc3,0.01,0.474,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,pc3,0.01,0.106,N/A,N/A,N/A
custom_full,350,hh,bposd,11,3,1000,pc3,0.01,0.478,N/A,N/A,N/A
custom_full,350,surface,bposd,12,3,1000,si1000,0.01,0.310,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,pc3,0.01,0.470,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,pc3,0.005,0.007,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,pc3,0.01,0.498,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,3,1000,pc3,0.005,0.307,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.005,0.014,N/A,N/A,N/A
custom_full,500,bacon,bposd,21,3,1000,pc3,0.005,0.332,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,pc3,0.01,0.120,N/A,N/A,N/A
custom_full,400,surface,bposd,13,3,1000,si1000,0.01,0.309,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,pc3,0.005,0.055,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,pc3,0.005,0.072,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,pc3,0.005,0.001,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.005,0.138,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.005,0.147,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,si1000,0.005,0.011,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,pc3,0.01,0.308,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,pc3,0.01,0.348,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,si1000,0.005,0.284,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,si1000,0.005,0.284,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,pc3,0.005,0.222,N/A,N/A,N/A
custom_full,350,color,bposd,11,3,1000,si1000,0.01,0.459,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,pc3,0.005,0.199,N/A,N/A,N/A
custom_full,300,color,bposd,11,3,1000,si1000,0.01,0.437,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,si1000,0.01,0.506,N/A,N/A,N/A
custom_full,450,hh,bposd,13,3,1000,pc3,0.01,0.483,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,si1000,0.01,0.505,N/A,N/A,N/A
custom_full,500,hh,bposd,13,3,1000,pc3,0.01,0.515,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,pc3,0.01,0.119,N/A,N/A,N/A
custom_full,450,surface,bposd,14,3,1000,si1000,0.01,0.297,N/A,N/A,N/A
custom_full,500,surface,bposd,15,3,1000,pc3,0.005,0.004,N/A,N/A,N/A
