backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,steane,bposd,9,1,1000,si1000,0.005,0.030,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,1000,si1000,0.005,0.047,N/A,N/A,N/A
custom_full,400,steane,bposd,9,1,1000,si1000,0.005,0.052,N/A,N/A,N/A
custom_full,450,steane,bposd,9,1,1000,si1000,0.005,0.043,N/A,N/A,N/A
custom_full,300,steane,bposd,9,1,1000,si1000,0.01,0.087,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,1000,si1000,0.01,0.066,N/A,N/A,N/A
custom_full,400,steane,bposd,9,1,1000,si1000,0.01,0.066,N/A,N/A,N/A
custom_full,500,steane,bposd,9,1,1000,si1000,0.005,0.044,N/A,N/A,N/A
custom_full,300,steane,bposd,9,1,1000,si1000,0.015,0.106,N/A,N/A,N/A
custom_full,450,steane,bposd,9,1,1000,si1000,0.01,0.089,N/A,N/A,N/A
custom_full,350,steane,bposd,9,1,1000,si1000,0.015,0.123,N/A,N/A,N/A
custom_full,500,steane,bposd,9,1,1000,si1000,0.01,0.082,N/A,N/A,N/A
custom_full,400,steane,bposd,9,1,1000,si1000,0.015,0.095,N/A,N/A,N/A
custom_full,450,steane,bposd,9,1,1000,si1000,0.015,0.118,N/A,N/A,N/A
custom_full,500,steane,bposd,9,1,1000,si1000,0.015,0.107,N/A,N/A,N/A
