backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_full,300,bacon,bposd,17,17,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,constant,0.002,0.001,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.002,0.015,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,modsi1000,0.002,0.016,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,constant,0.002,0.001,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,modsi1000,0.002,0.023,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,constant,0.004,0.035,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.008,0.413,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,modsi1000,0.008,0.420,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,modsi1000,0.002,0.026,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,modsi1000,0.008,0.440,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,modsi1000,0.004,0.157,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,modsi1000,0.004,0.172,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,constant,0.004,0.035,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,modsi1000,0.002,0.019,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,modsi1000,0.008,0.451,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,modsi1000,0.008,0.442,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,modsi1000,0.004,0.189,N/A,N/A,N/A
custom_full,300,bacon,bposd,17,17,10000,constant,0.008,0.227,N/A,N/A,N/A
custom_full,350,bacon,bposd,18,18,10000,constant,0.008,0.241,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,constant,0.008,0.264,N/A,N/A,N/A
custom_full,400,bacon,bposd,20,20,10000,constant,0.004,0.042,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,constant,0.004,0.048,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,modsi1000,0.004,0.218,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,modsi1000,0.004,0.223,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,constant,0.004,0.051,N/A,N/A,N/A
custom_full,500,bacon,bposd,22,22,10000,constant,0.008,0.293,N/A,N/A,N/A
custom_full,450,bacon,bposd,21,21,10000,constant,0.008,0.286,N/A,N/A,N/A
custom_full,500,gross,bposd,250,250,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,350,gross,bposd,175,175,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,450,gross,bposd,225,225,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,300,gross,bposd,150,150,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,400,gross,bposd,200,200,10000,constant,0.002,0.002,N/A,N/A,N/A
custom_full,300,gross,bposd,150,150,10000,modsi1000,0.002,0.014,N/A,N/A,N/A
custom_full,450,gross,bposd,225,225,10000,modsi1000,0.002,0.015,N/A,N/A,N/A
custom_full,350,gross,bposd,175,175,10000,modsi1000,0.002,0.015,N/A,N/A,N/A
custom_full,500,gross,bposd,250,250,10000,modsi1000,0.002,0.015,N/A,N/A,N/A
custom_full,400,gross,bposd,200,200,10000,modsi1000,0.002,0.015,N/A,N/A,N/A
custom_full,500,gross,bposd,250,250,10000,constant,0.004,0.286,N/A,N/A,N/A
custom_full,450,gross,bposd,225,225,10000,constant,0.004,0.285,N/A,N/A,N/A
custom_full,350,gross,bposd,175,175,10000,constant,0.004,0.273,N/A,N/A,N/A
custom_full,400,gross,bposd,200,200,10000,constant,0.004,0.279,N/A,N/A,N/A
