backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
custom_heavyhex,114,bacon,bposd,7,7,1000,constant,0.002,0.021,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,modsi1000,0.002,0.036,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,constant,0.004,0.094,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,modsi1000,0.004,0.152,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,modsi1000,0.008,0.358,N/A,N/A,N/A
custom_heavyhex,114,bacon,bposd,7,7,1000,constant,0.008,0.249,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,constant,0.002,0.032,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,modsi1000,0.002,0.057,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,constant,0.004,0.087,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,modsi1000,0.008,0.391,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,modsi1000,0.002,0.041,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,constant,0.004,0.138,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,modsi1000,0.004,0.210,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,constant,0.002,0.059,N/A,N/A,N/A
custom_heavyhex,192,bacon,bposd,9,9,1000,constant,0.008,0.320,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,modsi1000,0.004,0.096,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,modsi1000,0.002,0.028,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,constant,0.002,0.065,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,modsi1000,0.002,0.111,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,constant,0.002,0.068,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,modsi1000,0.008,0.326,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,modsi1000,0.004,0.043,N/A,N/A,N/A
custom_heavyhex,114,surface,bposd,3,3,1000,constant,0.008,0.249,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,constant,0.008,0.458,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,constant,0.004,0.288,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,constant,0.004,0.116,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,modsi1000,0.008,0.478,N/A,N/A,N/A
custom_heavyhex,290,bacon,bposd,13,13,1000,modsi1000,0.004,0.359,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,modsi1000,0.008,0.466,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,constant,0.008,0.216,N/A,N/A,N/A
custom_heavyhex,114,steane,bposd,3,3,1000,modsi1000,0.008,0.099,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,constant,0.002,0.109,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,modsi1000,0.002,0.202,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,constant,0.008,0.452,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,constant,0.004,0.383,N/A,N/A,N/A
custom_heavyhex,408,bacon,bposd,17,17,1000,modsi1000,0.004,0.414,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,modsi1000,0.008,0.459,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,constant,0.008,0.494,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,modsi1000,0.004,0.454,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,constant,0.002,0.175,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,modsi1000,0.002,0.258,N/A,N/A,N/A
custom_heavyhex,546,bacon,bposd,19,19,1000,constant,0.004,0.412,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,constant,0.002,0.047,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,modsi1000,0.002,0.075,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,constant,0.004,0.240,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,modsi1000,0.004,0.249,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,modsi1000,0.008,0.435,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,modsi1000,0.002,0.227,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,constant,0.002,0.198,N/A,N/A,N/A
custom_heavyhex,192,surface,bposd,5,5,1000,constant,0.008,0.475,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,modsi1000,0.004,0.388,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,constant,0.002,0.163,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,modsi1000,0.002,0.180,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,constant,0.004,0.437,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,constant,0.008,0.512,N/A,N/A,N/A
custom_heavyhex,114,hh,bposd,5,5,1000,modsi1000,0.008,0.499,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,constant,0.004,0.357,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,modsi1000,0.004,0.401,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,modsi1000,0.008,0.497,N/A,N/A,N/A
custom_heavyhex,114,color,bposd,5,5,1000,constant,0.008,0.473,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,constant,0.002,0.415,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,modsi1000,0.002,0.423,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,modsi1000,0.008,0.518,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,constant,0.004,0.483,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,modsi1000,0.004,0.520,N/A,N/A,N/A
custom_heavyhex,192,hh,bposd,7,7,1000,constant,0.008,0.506,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,constant,0.002,0.326,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,modsi1000,0.002,0.368,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,constant,0.004,0.517,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,constant,0.008,0.511,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,modsi1000,0.004,0.530,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,modsi1000,0.002,0.100,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,constant,0.002,0.176,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,modsi1000,0.002,0.137,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,modsi1000,0.002,0.061,N/A,N/A,N/A
custom_heavyhex,192,color,bposd,7,7,1000,modsi1000,0.008,0.457,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,modsi1000,0.002,0.089,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,constant,0.004,0.311,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,constant,0.008,0.429,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,constant,0.002,0.181,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,modsi1000,0.004,0.147,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,constant,0.002,0.174,N/A,N/A,N/A
custom_heavyhex,192,steane,bposd,9,9,1000,modsi1000,0.008,0.271,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,constant,0.008,0.438,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,modsi1000,0.004,0.122,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,constant,0.008,0.445,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,constant,0.004,0.300,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,modsi1000,0.004,0.104,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,modsi1000,0.008,0.333,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,constant,0.002,0.177,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,constant,0.004,0.307,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,constant,0.004,0.316,N/A,N/A,N/A
custom_heavyhex,290,steane,bposd,9,9,1000,modsi1000,0.004,0.220,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,modsi1000,0.008,0.222,N/A,N/A,N/A
custom_heavyhex,408,steane,bposd,9,9,1000,constant,0.008,0.453,N/A,N/A,N/A
custom_heavyhex,546,steane,bposd,9,9,1000,modsi1000,0.008,0.218,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,modsi1000,0.002,0.339,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,constant,0.002,0.316,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,modsi1000,0.004,0.517,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,modsi1000,0.008,0.488,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,modsi1000,0.008,1.000,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,constant,0.004,0.497,N/A,N/A,N/A
custom_heavyhex,290,surface,bposd,9,9,1000,constant,0.008,0.494,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,modsi1000,0.004,1.000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,constant,0.008,0.999,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,constant,0.002,0.999,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,modsi1000,0.002,1.000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,modsi1000,0.004,0.999,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,constant,0.002,0.480,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,modsi1000,0.008,1.000,N/A,N/A,N/A
custom_heavyhex,546,gross,bposd,12,12,1000,constant,0.004,1.000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,constant,0.008,1.000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,modsi1000,0.004,0.469,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,constant,0.002,1.000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,modsi1000,0.002,0.489,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,modsi1000,0.002,1.000,N/A,N/A,N/A
custom_heavyhex,408,gross,bposd,12,12,1000,constant,0.004,1.000,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,constant,0.004,0.503,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,modsi1000,0.008,0.476,N/A,N/A,N/A
custom_heavyhex,290,hh,bposd,9,9,1000,constant,0.008,0.484,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,modsi1000,0.002,0.479,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,modsi1000,0.004,0.488,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,constant,0.008,0.468,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,constant,0.002,0.468,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,modsi1000,0.008,0.500,N/A,N/A,N/A
custom_heavyhex,290,color,bposd,9,9,1000,constant,0.004,0.507,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,constant,0.002,0.433,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,modsi1000,0.002,0.431,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,modsi1000,0.004,0.507,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,modsi1000,0.008,0.515,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,constant,0.004,0.509,N/A,N/A,N/A
custom_heavyhex,408,surface,bposd,11,11,1000,constant,0.008,0.520,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,constant,0.002,0.515,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,modsi1000,0.008,0.521,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,constant,0.004,0.507,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,modsi1000,0.002,0.485,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,modsi1000,0.004,0.521,N/A,N/A,N/A
custom_heavyhex,408,hh,bposd,11,11,1000,constant,0.008,0.520,N/A,N/A,N/A
custom_heavyhex,408,color,bposd,11,11,1000,constant,0.008,0.479,N/A,N/A,N/A
custom_heavyhex,408,color,bposd,11,11,1000,constant,0.004,0.474,N/A,N/A,N/A
custom_heavyhex,408,color,bposd,11,11,1000,modsi1000,0.002,0.486,N/A,N/A,N/A
custom_heavyhex,408,color,bposd,11,11,1000,constant,0.002,0.493,N/A,N/A,N/A
custom_heavyhex,408,color,bposd,11,11,1000,modsi1000,0.008,0.488,N/A,N/A,N/A
custom_heavyhex,408,color,bposd,11,11,1000,modsi1000,0.004,0.505,N/A,N/A,N/A
custom_heavyhex,546,surface,bposd,13,13,1000,constant,0.002,0.488,N/A,N/A,N/A
custom_heavyhex,546,surface,bposd,13,13,1000,modsi1000,0.002,0.485,N/A,N/A,N/A
custom_heavyhex,546,surface,bposd,13,13,1000,modsi1000,0.008,0.502,N/A,N/A,N/A
custom_heavyhex,546,surface,bposd,13,13,1000,constant,0.008,0.499,N/A,N/A,N/A
custom_heavyhex,546,surface,bposd,13,13,1000,modsi1000,0.004,0.486,N/A,N/A,N/A
custom_heavyhex,546,surface,bposd,13,13,1000,constant,0.004,0.482,N/A,N/A,N/A
custom_heavyhex,546,hh,bposd,13,13,1000,modsi1000,0.008,0.489,N/A,N/A,N/A
custom_heavyhex,546,hh,bposd,13,13,1000,modsi1000,0.004,0.482,N/A,N/A,N/A
custom_heavyhex,546,hh,bposd,13,13,1000,constant,0.008,0.500,N/A,N/A,N/A
custom_heavyhex,546,hh,bposd,13,13,1000,constant,0.002,0.503,N/A,N/A,N/A
custom_heavyhex,546,hh,bposd,13,13,1000,constant,0.004,0.485,N/A,N/A,N/A
custom_heavyhex,546,hh,bposd,13,13,1000,modsi1000,0.002,0.498,N/A,N/A,N/A
custom_heavyhex,546,color,bposd,13,13,1000,constant,0.002,0.523,N/A,N/A,N/A
custom_heavyhex,546,color,bposd,13,13,1000,modsi1000,0.008,0.497,N/A,N/A,N/A
custom_heavyhex,546,color,bposd,13,13,1000,modsi1000,0.002,0.485,N/A,N/A,N/A
custom_heavyhex,546,color,bposd,13,13,1000,constant,0.004,0.501,N/A,N/A,N/A
custom_heavyhex,546,color,bposd,13,13,1000,modsi1000,0.004,0.494,N/A,N/A,N/A
custom_heavyhex,546,color,bposd,13,13,1000,constant,0.008,0.501,N/A,N/A,N/A
