backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
variance_mid,,steane,bposd,9,9,1000,real_heron,0.004,0.071,N/A,N/A,N/A
variance_mid,,steane,bposd,9,9,1000,variance,0.004,0.059,N/A,N/A,N/A
variance_low,,steane,bposd,9,9,1000,real_heron,0.004,0.065,N/A,N/A,N/A
variance_low,,steane,bposd,9,9,1000,variance,0.004,0.056,N/A,N/A,N/A
variance_mid,,hh,bposd,11,11,1000,real_heron,0.004,0.502,N/A,N/A,N/A
variance_mid,,hh,bposd,11,11,1000,variance,0.004,0.517,N/A,N/A,N/A
variance_high,,hh,bposd,11,11,1000,real_heron,0.004,0.490,N/A,N/A,N/A
variance_high,,hh,bposd,11,11,1000,variance,0.004,0.487,N/A,N/A,N/A
variance_low,,hh,bposd,11,11,1000,real_heron,0.004,0.494,N/A,N/A,N/A
variance_low,,hh,bposd,11,11,1000,variance,0.004,0.482,N/A,N/A,N/A
variance_high,,steane,bposd,9,9,1000,real_heron,0.004,0.051,N/A,N/A,N/A
variance_high,,steane,bposd,9,9,1000,variance,0.004,0.049,N/A,N/A,N/A
variance_mid,,gross,bposd,12,12,1000,real_heron,0.004,1.000,N/A,N/A,N/A
variance_mid,,gross,bposd,12,12,1000,variance,0.004,0.999,N/A,N/A,N/A
variance_low,,gross,bposd,12,12,1000,variance,0.004,0.999,N/A,N/A,N/A
variance_low,,gross,bposd,12,12,1000,real_heron,0.004,0.999,N/A,N/A,N/A
variance_high,,surface,bposd,13,13,1000,real_heron,0.004,0.499,N/A,N/A,N/A
variance_high,,surface,bposd,13,13,1000,variance,0.004,0.502,N/A,N/A,N/A
variance_mid,,surface,bposd,13,13,1000,real_heron,0.004,0.478,N/A,N/A,N/A
variance_mid,,surface,bposd,13,13,1000,variance,0.004,0.507,N/A,N/A,N/A
variance_mid,,color,bposd,13,13,1000,real_heron,0.004,0.520,N/A,N/A,N/A
variance_mid,,color,bposd,13,13,1000,variance,0.004,0.503,N/A,N/A,N/A
variance_low,,surface,bposd,13,13,1000,real_heron,0.004,0.471,N/A,N/A,N/A
variance_low,,surface,bposd,13,13,1000,variance,0.004,0.506,N/A,N/A,N/A
variance_low,,color,bposd,13,13,1000,real_heron,0.004,0.492,N/A,N/A,N/A
variance_low,,color,bposd,13,13,1000,variance,0.004,0.502,N/A,N/A,N/A
variance_high,,gross,bposd,12,12,1000,real_heron,0.004,1.000,N/A,N/A,N/A
variance_high,,gross,bposd,12,12,1000,variance,0.004,1.000,N/A,N/A,N/A
variance_mid,,bacon,bposd,19,19,1000,real_heron,0.004,0.477,N/A,N/A,N/A
variance_high,,color,bposd,13,13,1000,real_heron,0.004,0.540,N/A,N/A,N/A
variance_high,,color,bposd,13,13,1000,variance,0.004,0.504,N/A,N/A,N/A
variance_mid,,bacon,bposd,19,19,1000,variance,0.004,0.503,N/A,N/A,N/A
variance_low,,bacon,bposd,19,19,1000,real_heron,0.004,0.518,N/A,N/A,N/A
variance_low,,bacon,bposd,19,19,1000,variance,0.004,0.489,N/A,N/A,N/A
variance_high,,bacon,bposd,19,19,1000,real_heron,0.004,0.503,N/A,N/A,N/A
variance_high,,bacon,bposd,19,19,1000,variance,0.004,0.499,N/A,N/A,N/A
