code,distance,discriminator,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,12,Baseline FNN,200,bposd,0.02005189387198685,5000,0.5022,1294.970257282257
bacon,12,Baseline FNN,400,bposd,0.007366388416469194,5000,0.4966,1067.3345589637756
bacon,12,Baseline FNN,600,bposd,0.005231026846751419,5000,0.4332,1023.5384428501129
bacon,12,Baseline FNN,800,bposd,0.004687960076020537,5000,0.3934,1042.1500182151794
bacon,12,Baseline FNN,1000,bposd,0.004525326822887765,5000,0.3808,1080.902229309082
bacon,12,HERQULES,200,bposd,0.02405108785663376,5000,0.4942,986.8842384815216
bacon,12,HERQULES,400,bposd,0.00833651752293818,5000,0.494,896.3387842178345
bacon,12,HERQULES,600,bposd,0.005683895675797035,5000,0.4518,1177.4884128570557
bacon,12,HERQULES,800,bposd,0.005106011760766894,5000,0.4188,1163.628636598587
bacon,12,HERQULES,1000,bposd,0.004879200360757896,5000,0.399,1071.0116851329803
bacon,12,KLiNQ,200,bposd,0.020143514248691097,5000,0.492,1149.7993912696838
bacon,12,KLiNQ,400,bposd,0.007573414929844003,5000,0.4858,1223.815572977066
bacon,12,KLiNQ,600,bposd,0.005742763610684831,5000,0.449,1017.9425899982452
bacon,12,KLiNQ,800,bposd,0.005402209678847136,5000,0.4454,1092.3010721206665
bacon,12,KLiNQ,1000,bposd,0.005447373741194273,5000,0.4368,964.9176776409149
bacon,12,Linear Threshold,200,bposd,0.02327580834004539,5000,0.503,1144.5243277549744
bacon,12,Linear Threshold,400,bposd,0.008759753740157018,5000,0.4996,1239.5021090507507
bacon,12,Linear Threshold,600,bposd,0.0062071661946133455,5000,0.4772,1265.2799038887024
bacon,12,Linear Threshold,800,bposd,0.005946387895329886,5000,0.454,1039.2994327545166
bacon,12,Linear Threshold,1000,bposd,0.006167750963765529,5000,0.457,900.3489129543304
bacon,12,MCMit-CNN,200,bposd,0.02034041393624929,5000,0.5022,1064.6015222072601
bacon,12,MCMit-CNN,400,bposd,0.007895490215535029,5000,0.4954,1113.6151266098022
bacon,12,MCMit-CNN,600,bposd,0.005059445028330967,5000,0.414,734.6235086917877
bacon,12,MCMit-CNN,800,bposd,0.0045084008455954505,5000,0.3718,885.9743535518646
bacon,12,MCMit-CNN,1000,bposd,0.004283659147231211,5000,0.3656,812.4548828601837
bacon,12,MCMit-T,200,bposd,0.02003287515020932,5000,0.4926,869.5947775840759
bacon,12,MCMit-T,400,bposd,0.007233704114844187,5000,0.4922,940.149717092514
bacon,12,MCMit-T,600,bposd,0.005059196945895506,5000,0.4144,1116.4380195140839
bacon,12,MCMit-T,800,bposd,0.00445838395999123,5000,0.3746,700.4626908302307
bacon,12,MCMit-T,1000,bposd,0.004339107151534316,5000,0.3624,826.6604120731354
bacon,12,QubiCML,200,bposd,0.023374178212014464,5000,0.4942,1206.1682364940643
bacon,12,QubiCML,400,bposd,0.00865950271158008,5000,0.504,1098.6773364543915
bacon,12,QubiCML,600,bposd,0.0061261993654449735,5000,0.4686,1138.4703199863434
bacon,12,QubiCML,800,bposd,0.00586719829583493,5000,0.4544,1209.6085803508759
bacon,12,QubiCML,1000,bposd,0.006139363663472109,5000,0.4586,1188.8169114589691
gross,12,Baseline FNN,200,bposd,0.02005189387198685,1000,1.0,2736.3474428653717
gross,12,Baseline FNN,400,bposd,0.007366388416469194,1000,0.994,2647.8956005573273
gross,12,Baseline FNN,600,bposd,0.005231026846751419,1000,0.989,2395.6180851459503
gross,12,Baseline FNN,800,bposd,0.004687960076020537,1000,0.988,2513.7626855373383
gross,12,Baseline FNN,1000,bposd,0.004525326822887765,1000,0.991,2513.129246711731
gross,12,HERQULES,200,bposd,0.02405108785663376,1000,1.0,2627.4753243923187
gross,12,HERQULES,400,bposd,0.00833651752293818,1000,0.992,2744.283549308777
gross,12,HERQULES,600,bposd,0.005683895675797035,1000,0.994,2712.8818764686584
gross,12,HERQULES,800,bposd,0.005106011760766894,1000,0.993,2683.912570476532
gross,12,HERQULES,1000,bposd,0.004879200360757896,1000,0.989,2491.866065263748
gross,12,KLiNQ,200,bposd,0.020143514248691097,1000,1.0,2482.0383801460266
gross,12,KLiNQ,400,bposd,0.007573414929844003,1000,0.996,2631.224163532257
gross,12,KLiNQ,600,bposd,0.005742763610684831,1000,0.993,2435.058703184128
gross,12,KLiNQ,800,bposd,0.005402209678847136,1000,0.988,2504.8742344379425
gross,12,KLiNQ,1000,bposd,0.005447373741194273,1000,0.994,2703.9292550086975
gross,12,Linear Threshold,200,bposd,0.02327580834004539,1000,0.999,2429.5620362758636
gross,12,Linear Threshold,400,bposd,0.008759753740157018,1000,0.995,2648.966190099716
gross,12,Linear Threshold,600,bposd,0.0062071661946133455,1000,0.992,2691.4242844581604
gross,12,Linear Threshold,800,bposd,0.005946387895329886,1000,0.992,2479.481920480728
gross,12,Linear Threshold,1000,bposd,0.006167750963765529,1000,0.992,2729.89417719841
gross,12,MCMit-CNN,200,bposd,0.02034041393624929,1000,0.998,2205.421891450882
gross,12,MCMit-CNN,400,bposd,0.007895490215535029,1000,0.987,2413.4364807605743
gross,12,MCMit-CNN,600,bposd,0.005059445028330967,1000,0.993,2065.1067395210266
gross,12,MCMit-CNN,800,bposd,0.0045084008455954505,1000,0.991,2359.076448917389
gross,12,MCMit-CNN,1000,bposd,0.004283659147231211,1000,0.991,2079.3548650741577
gross,12,MCMit-T,200,bposd,0.02003287515020932,1000,1.0,2305.319692850113
gross,12,MCMit-T,400,bposd,0.007233704114844187,1000,0.991,2424.9441270828247
gross,12,MCMit-T,600,bposd,0.005059196945895506,1000,0.992,2131.106748819351
gross,12,MCMit-T,800,bposd,0.00445838395999123,1000,0.993,2103.367347240448
gross,12,MCMit-T,1000,bposd,0.004339107151534316,1000,0.993,2282.9941890239716
gross,12,QubiCML,200,bposd,0.023374178212014464,1000,0.996,2568.7063417434692
gross,12,QubiCML,400,bposd,0.00865950271158008,1000,0.993,2505.1336376667023
gross,12,QubiCML,600,bposd,0.0061261993654449735,1000,0.994,2684.7270414829254
gross,12,QubiCML,800,bposd,0.00586719829583493,1000,0.99,2648.460786819458
gross,12,QubiCML,1000,bposd,0.006139363663472109,1000,0.993,2518.4082601070404
hh,12,Baseline FNN,200,mwpm,0.02005189387198685,100000,0.35917,76.30963134765625
hh,12,Baseline FNN,400,mwpm,0.007366388416469194,100000,0.2766,72.89618015289307
hh,12,Baseline FNN,600,mwpm,0.005231026846751419,100000,0.26101,68.94100570678711
hh,12,Baseline FNN,800,mwpm,0.004687960076020537,100000,0.25846,73.39115023612976
hh,12,Baseline FNN,1000,mwpm,0.004525326822887765,100000,0.25872,72.48707938194275
hh,12,HERQULES,200,mwpm,0.02405108785663376,100000,0.37526,85.75293731689453
hh,12,HERQULES,400,mwpm,0.00833651752293818,100000,0.28618,74.80063009262085
hh,12,HERQULES,600,mwpm,0.005683895675797035,100000,0.26228,72.68398380279541
hh,12,HERQULES,800,mwpm,0.005106011760766894,100000,0.25996,67.57510089874268
hh,12,HERQULES,1000,mwpm,0.004879200360757896,100000,0.2631,73.59445452690125
hh,12,KLiNQ,200,mwpm,0.020143514248691097,100000,0.35896,82.32167649269104
hh,12,KLiNQ,400,mwpm,0.007573414929844003,100000,0.27602,68.81480073928833
hh,12,KLiNQ,600,mwpm,0.005742763610684831,100000,0.26385,72.17393207550049
hh,12,KLiNQ,800,mwpm,0.005402209678847136,100000,0.26638,69.67665576934814
hh,12,KLiNQ,1000,mwpm,0.005447373741194273,100000,0.26959,71.21116662025452
hh,12,Linear Threshold,200,mwpm,0.02327580834004539,100000,0.37424,80.28381514549255
hh,12,Linear Threshold,400,mwpm,0.008759753740157018,100000,0.28525,70.32345628738403
hh,12,Linear Threshold,600,mwpm,0.0062071661946133455,100000,0.26789,74.60863709449768
hh,12,Linear Threshold,800,mwpm,0.005946387895329886,100000,0.27249,69.73564004898071
hh,12,Linear Threshold,1000,mwpm,0.006167750963765529,100000,0.27258,71.37402939796448
hh,12,MCMit-CNN,200,mwpm,0.02034041393624929,100000,0.36204,77.22909140586853
hh,12,MCMit-CNN,400,mwpm,0.007895490215535029,100000,0.2802,63.824209213256836
hh,12,MCMit-CNN,600,mwpm,0.005059445028330967,100000,0.25937,63.514201641082764
hh,12,MCMit-CNN,800,mwpm,0.0045084008455954505,100000,0.2592,65.03526997566223
hh,12,MCMit-CNN,1000,mwpm,0.004283659147231211,100000,0.25668,63.83670926094055
hh,12,MCMit-T,200,mwpm,0.02003287515020932,100000,0.35667,64.7579779624939
hh,12,MCMit-T,400,mwpm,0.007233704114844187,100000,0.27513,66.89597511291504
hh,12,MCMit-T,600,mwpm,0.005059196945895506,100000,0.26103,41.7937126159668
hh,12,MCMit-T,800,mwpm,0.00445838395999123,100000,0.2569,67.00374293327332
hh,12,MCMit-T,1000,mwpm,0.004339107151534316,100000,0.25735,65.83952736854553
hh,12,QubiCML,200,mwpm,0.023374178212014464,100000,0.37656,78.3600926399231
hh,12,QubiCML,400,mwpm,0.00865950271158008,100000,0.28787,74.90175008773804
hh,12,QubiCML,600,mwpm,0.0061261993654449735,100000,0.26996,65.36325335502625
hh,12,QubiCML,800,mwpm,0.00586719829583493,100000,0.26973,73.29151844978333
hh,12,QubiCML,1000,mwpm,0.006139363663472109,100000,0.27593,43.42427349090576
surface,12,Baseline FNN,200,mwpm,0.02005189387198685,100000,0.14978,65.74103045463562
surface,12,Baseline FNN,400,mwpm,0.007366388416469194,100000,0.10137,60.460609912872314
surface,12,Baseline FNN,600,mwpm,0.005231026846751419,100000,0.09513,49.76421236991882
surface,12,Baseline FNN,800,mwpm,0.004687960076020537,100000,0.09515,56.637579679489136
surface,12,Baseline FNN,1000,mwpm,0.004525326822887765,100000,0.09722,59.07723045349121
surface,12,HERQULES,200,mwpm,0.02405108785663376,100000,0.16994,67.09388446807861
surface,12,HERQULES,400,mwpm,0.00833651752293818,100000,0.10447,60.25756645202637
surface,12,HERQULES,600,mwpm,0.005683895675797035,100000,0.09669,58.17568588256836
surface,12,HERQULES,800,mwpm,0.005106011760766894,100000,0.09613,59.2436089515686
surface,12,HERQULES,1000,mwpm,0.004879200360757896,100000,0.09837,54.661089181900024
surface,12,KLiNQ,200,mwpm,0.020143514248691097,100000,0.15231,64.45059299468994
surface,12,KLiNQ,400,mwpm,0.007573414929844003,100000,0.10269,54.15157461166382
surface,12,KLiNQ,600,mwpm,0.005742763610684831,100000,0.09731,61.877280712127686
surface,12,KLiNQ,800,mwpm,0.005402209678847136,100000,0.09939,56.23594617843628
