variant,distance,readout_ns,logical_error_rate
backlog,5,200,0.44036
backlog,5,400,0.0767
backlog,5,600,0.0477
backlog,5,800,0.0508
backlog,5,1000,0.05386
backlog,7,200,0.49066
backlog,7,400,0.19672
backlog,7,600,0.14474
backlog,7,800,0.15338
backlog,7,1000,0.1627
backlog,9,200,0.50018
backlog,9,400,0.43622
backlog,9,600,0.40864
backlog,9,800,0.40946
backlog,9,1000,0.41194
backlog,11,200,0.4988
backlog,11,400,0.4992
backlog,11,600,0.50444
backlog,11,800,0.50054
backlog,11,1000,0.50156
backlog,13,200,0.49506
backlog,13,400,0.49976
backlog,13,600,0.50412
backlog,13,800,0.50006
backlog,13,1000,0.50196
baseline,5,200,0.43754
baseline,5,400,0.06982
baseline,5,600,0.04082
baseline,5,800,0.04172
baseline,5,1000,0.04426
baseline,7,200,0.4941
baseline,7,400,0.18592
baseline,7,600,0.13852
baseline,7,800,0.13872
baseline,7,1000,0.13918
baseline,9,200,0.49896
baseline,9,400,0.43312
baseline,9,600,0.399
baseline,9,800,0.4029
baseline,9,1000,0.39974
baseline,11,200,0.50012
baseline,11,400,0.49664
baseline,11,600,0.49894
baseline,11,800,0.49688
baseline,11,1000,0.5011
baseline,13,200,0.49872
baseline,13,400,0.49956
baseline,13,600,0.50608
baseline,13,800,0.50096
baseline,13,1000,0.49698
rounds_5d,5,200,0.47262
rounds_5d,5,400,0.14908
rounds_5d,5,600,0.11556
rounds_5d,5,800,0.12134
rounds_5d,5,1000,0.12388
rounds_5d,7,200,0.50208
rounds_5d,7,400,0.43554
rounds_5d,7,600,0.40068
rounds_5d,7,800,0.40408
rounds_5d,7,1000,0.40856
rounds_5d,9,200,0.50164
rounds_5d,9,400,0.50286
rounds_5d,9,600,0.49804
rounds_5d,9,800,0.4942
rounds_5d,9,1000,0.49912
rounds_5d,11,200,0.49858
rounds_5d,11,400,0.49734
rounds_5d,11,600,0.49646
rounds_5d,11,800,0.4998
rounds_5d,11,1000,0.49874
rounds_5d,13,200,0.49848
rounds_5d,13,400,0.49722
rounds_5d,13,600,0.50286
rounds_5d,13,800,0.49918
rounds_5d,13,1000,0.49946
