code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,5,boston_lowt,200,bposd,0.22100820215836314,5000,0.0626,7.481617212295532
bacon,5,boston_lowt,400,bposd,0.05072477893499516,5000,0.0652,8.203844785690308
bacon,5,boston_lowt,600,bposd,0.03397763774713358,5000,0.0662,8.184161901473999
bacon,5,boston_lowt,800,bposd,0.03365302389666702,5000,0.0726,7.49314022064209
bacon,5,boston_lowt,1000,bposd,0.03281437895417039,5000,0.077,10.388732433319092
bacon,7,boston_lowt,200,bposd,0.22100820215836314,5000,0.1032,47.69329643249512
bacon,7,boston_lowt,400,bposd,0.05072477893499516,5000,0.1146,48.43137454986572
bacon,7,boston_lowt,600,bposd,0.03397763774713358,5000,0.1144,47.81684398651123
bacon,7,boston_lowt,800,bposd,0.03365302389666702,5000,0.1326,51.03296232223511
bacon,7,boston_lowt,1000,bposd,0.03281437895417039,5000,0.1278,43.51387858390808
bacon,9,boston_lowt,200,bposd,0.22100820215836314,5000,0.1752,151.97069001197815
bacon,9,boston_lowt,400,bposd,0.05072477893499516,5000,0.176,137.1620876789093
bacon,9,boston_lowt,600,bposd,0.03397763774713358,5000,0.1792,147.38945364952087
bacon,9,boston_lowt,800,bposd,0.03365302389666702,5000,0.2002,150.07320642471313
bacon,9,boston_lowt,1000,bposd,0.03281437895417039,5000,0.2008,133.93933010101318
bacon,11,boston_lowt,200,bposd,0.22100820215836314,5000,0.2578,302.89442133903503
bacon,11,boston_lowt,400,bposd,0.05072477893499516,5000,0.2492,301.95120787620544
bacon,11,boston_lowt,600,bposd,0.03397763774713358,5000,0.261,343.24081087112427
bacon,11,boston_lowt,800,bposd,0.03365302389666702,5000,0.2784,292.62928795814514
bacon,11,boston_lowt,1000,bposd,0.03281437895417039,5000,0.2748,311.87239599227905
bacon,13,boston_lowt,200,bposd,0.22100820215836314,5000,0.3318,742.2931365966797
bacon,13,boston_lowt,400,bposd,0.05072477893499516,5000,0.347,662.9046702384949
bacon,13,boston_lowt,600,bposd,0.03397763774713358,5000,0.3542,715.3015310764313
bacon,13,boston_lowt,800,bposd,0.03365302389666702,5000,0.3564,726.2575345039368
bacon,13,boston_lowt,1000,bposd,0.03281437895417039,5000,0.3502,680.496579170227
color,5,boston_lowt,200,bposd,0.22100820215836314,5000,0.0694,31.508641719818115
color,5,boston_lowt,400,bposd,0.05072477893499516,5000,0.071,26.10478186607361
color,5,boston_lowt,600,bposd,0.03397763774713358,5000,0.0748,32.438599824905396
color,5,boston_lowt,800,bposd,0.03365302389666702,5000,0.0764,24.916795253753662
color,5,boston_lowt,1000,bposd,0.03281437895417039,5000,0.0864,36.360703229904175
color,7,boston_lowt,200,bposd,0.22100820215836314,5000,0.3568,226.3864300251007
color,7,boston_lowt,400,bposd,0.05072477893499516,5000,0.3608,260.38239550590515
color,7,boston_lowt,600,bposd,0.03397763774713358,5000,0.379,240.60884380340576
color,7,boston_lowt,800,bposd,0.03365302389666702,5000,0.3724,209.76342129707336
color,7,boston_lowt,1000,bposd,0.03281437895417039,5000,0.3746,200.0702624320984
color,9,boston_lowt,200,bposd,0.22100820215836314,5000,0.5052,587.8815410137177
color,9,boston_lowt,400,bposd,0.05072477893499516,5000,0.5058,735.4693830013275
color,9,boston_lowt,600,bposd,0.03397763774713358,5000,0.5086,751.4028732776642
color,9,boston_lowt,800,bposd,0.03365302389666702,5000,0.4962,636.6138880252838
color,9,boston_lowt,1000,bposd,0.03281437895417039,5000,0.4854,693.3346939086914
color,11,boston_lowt,200,bposd,0.22100820215836314,5000,0.5102,1817.802861213684
color,11,boston_lowt,400,bposd,0.05072477893499516,5000,0.4942,1803.8273963928223
color,11,boston_lowt,600,bposd,0.03397763774713358,5000,0.4978,1558.1461420059204
color,11,boston_lowt,800,bposd,0.03365302389666702,5000,0.4974,1630.5027635097504
color,11,boston_lowt,1000,bposd,0.03281437895417039,5000,0.5016,1731.8082745075226
color,13,boston_lowt,200,bposd,0.22100820215836314,5000,0.5086,2891.8641645908356
color,13,boston_lowt,400,bposd,0.05072477893499516,5000,0.5066,2827.5133802890778
color,13,boston_lowt,600,bposd,0.03397763774713358,5000,0.5004,3480.019324541092
color,13,boston_lowt,800,bposd,0.03365302389666702,5000,0.5106,3344.715404987335
color,13,boston_lowt,1000,bposd,0.03281437895417039,5000,0.495,2952.6930565834045
gross,12,boston_lowt,200,bposd,0.22100820215836314,1000,1.0,1531.4754781723022
gross,12,boston_lowt,400,bposd,0.05072477893499516,1000,1.0,1529.8406116962433
gross,12,boston_lowt,600,bposd,0.03397763774713358,1000,1.0,1575.3089699745178
gross,12,boston_lowt,800,bposd,0.03365302389666702,1000,0.999,1622.4669461250305
gross,12,boston_lowt,1000,bposd,0.03281437895417039,1000,0.999,1548.6217634677887
hh,5,boston_lowt,200,mwpm,0.22100820215836314,50000,0.05026,1.0475471019744873
hh,5,boston_lowt,400,mwpm,0.05072477893499516,50000,0.05326,1.242875576019287
hh,5,boston_lowt,600,mwpm,0.03397763774713358,50000,0.05686,1.4264702796936035
hh,5,boston_lowt,800,mwpm,0.03365302389666702,50000,0.06046,0.8019425868988037
hh,5,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.06354,1.3842322826385498
hh,7,boston_lowt,200,mwpm,0.22100820215836314,50000,0.26216,5.11259126663208
hh,7,boston_lowt,400,mwpm,0.05072477893499516,50000,0.26724,4.392800331115723
hh,7,boston_lowt,600,mwpm,0.03397763774713358,50000,0.27986,5.1723105907440186
hh,7,boston_lowt,800,mwpm,0.03365302389666702,50000,0.28238,5.3235087394714355
hh,7,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.28832,5.111013174057007
hh,9,boston_lowt,200,mwpm,0.22100820215836314,50000,0.48752,11.60030484199524
hh,9,boston_lowt,400,mwpm,0.05072477893499516,50000,0.48886,16.481403350830078
hh,9,boston_lowt,600,mwpm,0.03397763774713358,50000,0.49226,15.8425874710083
hh,9,boston_lowt,800,mwpm,0.03365302389666702,50000,0.48926,14.02882170677185
hh,9,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.49336,16.066826820373535
hh,11,boston_lowt,200,mwpm,0.22100820215836314,50000,0.5018,41.791231870651245
hh,11,boston_lowt,400,mwpm,0.05072477893499516,50000,0.50076,40.732285261154175
hh,11,boston_lowt,600,mwpm,0.03397763774713358,50000,0.49902,43.036837577819824
hh,11,boston_lowt,800,mwpm,0.03365302389666702,50000,0.50124,40.75779938697815
hh,11,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.50014,42.301528453826904
hh,13,boston_lowt,200,mwpm,0.22100820215836314,50000,0.4994,83.67779898643494
hh,13,boston_lowt,400,mwpm,0.05072477893499516,50000,0.50146,73.07586717605591
hh,13,boston_lowt,600,mwpm,0.03397763774713358,50000,0.49858,91.53815340995789
hh,13,boston_lowt,800,mwpm,0.03365302389666702,50000,0.49494,86.47497510910034
hh,13,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.50224,87.85856056213379
steane,9,boston_lowt,200,bposd,0.22100820215836314,5000,0.3034,135.60121393203735
steane,9,boston_lowt,400,bposd,0.05072477893499516,5000,0.3098,146.03423857688904
steane,9,boston_lowt,600,bposd,0.03397763774713358,5000,0.3074,174.65818405151367
steane,9,boston_lowt,800,bposd,0.03365302389666702,5000,0.3078,143.006014585495
steane,9,boston_lowt,1000,bposd,0.03281437895417039,5000,0.3156,142.5077896118164
surface,5,boston_lowt,200,mwpm,0.22100820215836314,50000,0.0222,1.4265825748443604
surface,5,boston_lowt,400,mwpm,0.05072477893499516,50000,0.0246,1.3315794467926025
surface,5,boston_lowt,600,mwpm,0.03397763774713358,50000,0.02478,1.332111120223999
surface,5,boston_lowt,800,mwpm,0.03365302389666702,50000,0.02716,1.4897425174713135
surface,5,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.03028,1.055405616760254
surface,7,boston_lowt,200,mwpm,0.22100820215836314,50000,0.1704,6.8760082721710205
surface,7,boston_lowt,400,mwpm,0.05072477893499516,50000,0.17386,5.462917804718018
surface,7,boston_lowt,600,mwpm,0.03397763774713358,50000,0.1791,5.102319717407227
surface,7,boston_lowt,800,mwpm,0.03365302389666702,50000,0.18942,5.3194661140441895
surface,7,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.1905,4.131653308868408
surface,9,boston_lowt,200,mwpm,0.22100820215836314,50000,0.46798,20.09130072593689
surface,9,boston_lowt,400,mwpm,0.05072477893499516,50000,0.47218,19.499476194381714
surface,9,boston_lowt,600,mwpm,0.03397763774713358,50000,0.47146,20.990039825439453
surface,9,boston_lowt,800,mwpm,0.03365302389666702,50000,0.4744,17.553778171539307
surface,9,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.47606,20.570356845855713
surface,11,boston_lowt,200,mwpm,0.22100820215836314,50000,0.4966,48.918992042541504
surface,11,boston_lowt,400,mwpm,0.05072477893499516,50000,0.49876,51.334800243377686
surface,11,boston_lowt,600,mwpm,0.03397763774713358,50000,0.50088,50.195642709732056
surface,11,boston_lowt,800,mwpm,0.03365302389666702,50000,0.4974,52.8354012966156
surface,11,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.4993,51.181997776031494
surface,13,boston_lowt,200,mwpm,0.22100820215836314,50000,0.50142,113.51926469802856
surface,13,boston_lowt,400,mwpm,0.05072477893499516,50000,0.503,120.32995176315308
surface,13,boston_lowt,600,mwpm,0.03397763774713358,50000,0.49964,118.22396326065063
surface,13,boston_lowt,800,mwpm,0.03365302389666702,50000,0.50022,106.1163182258606
surface,13,boston_lowt,1000,mwpm,0.03281437895417039,50000,0.49564,109.95741581916809
