code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,5,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.4014,20.34832191467285
bacon,5,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.0838,7.250421762466431
bacon,5,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.052,6.3551926612854
bacon,5,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.0518,7.55847954750061
bacon,5,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.0572,6.616695404052734
bacon,7,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.4772,79.35168504714966
bacon,7,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.16,56.319814920425415
bacon,7,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.0806,40.743364095687866
bacon,7,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.0894,36.246084213256836
bacon,7,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.0776,41.86782908439636
bacon,9,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.5072,158.96943759918213
bacon,9,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.2652,123.20494031906128
bacon,9,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.1484,140.99589347839355
bacon,9,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.148,120.77918815612793
bacon,9,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.1432,103.93323230743408
bacon,11,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.5046,312.34645986557007
bacon,11,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.3708,315.355756521225
bacon,11,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.211,270.7336599826813
bacon,11,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.217,293.357159614563
bacon,11,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.1928,265.7236578464508
bacon,13,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.4932,805.4383816719055
bacon,13,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.4278,820.48788189888
bacon,13,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.3038,733.7374510765076
bacon,13,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.3026,705.4318790435791
bacon,13,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.3004,706.7606227397919
color,5,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.0122,10.7019624710083
color,5,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.0048,5.834889650344849
color,5,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.0034,6.029724359512329
color,5,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.0034,6.311560392379761
color,5,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.0044,6.619451284408569
color,7,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.0218,98.17078733444214
color,7,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.0096,81.59421110153198
color,7,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.006,73.13650584220886
color,7,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.0118,74.59394311904907
color,7,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.009,64.85444736480713
color,9,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.082,428.29016041755676
color,9,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.0332,344.04035472869873
color,9,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.0306,374.7617301940918
color,9,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.034,333.1540837287903
color,9,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.0306,346.2488853931427
color,11,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.2916,2214.352506160736
color,11,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.1562,1620.4501395225525
color,11,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.1554,1668.0327560901642
color,11,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.1548,1677.1151323318481
color,11,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.1622,1682.2795505523682
color,13,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.4944,7021.729267835617
color,13,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.44,10110.459139347076
color,13,heron_herqules_futuristic,600,bposd,0.03397763774713358,5000,0.43,10311.403747081757
color,13,heron_herqules_futuristic,800,bposd,0.03365302389666702,5000,0.4326,6496.149102687836
color,13,heron_herqules_futuristic,1000,bposd,0.03281437895417039,5000,0.4328,10000.024214982986
gross,12,heron_herqules_futuristic,200,bposd,0.22100820215836314,1000,0.999,2369.7749955654144
gross,12,heron_herqules_futuristic,400,bposd,0.05072477893499516,1000,0.986,2332.50635099411
gross,12,heron_herqules_futuristic,600,bposd,0.03397763774713358,1000,0.988,2544.2490463256836
gross,12,heron_herqules_futuristic,800,bposd,0.03365302389666702,1000,0.99,2284.9988481998444
gross,12,heron_herqules_futuristic,1000,bposd,0.03281437895417039,1000,0.992,2477.5848071575165
hh,5,heron_herqules_futuristic,200,mwpm,0.22100820215836314,50000,0.01402,1.138653039932251
hh,5,heron_herqules_futuristic,400,mwpm,0.05072477893499516,50000,0.00404,0.8236708641052246
hh,5,heron_herqules_futuristic,600,mwpm,0.03397763774713358,50000,0.00366,0.9143595695495605
hh,5,heron_herqules_futuristic,800,mwpm,0.03365302389666702,50000,0.00326,1.1326344013214111
hh,5,heron_herqules_futuristic,1000,mwpm,0.03281437895417039,50000,0.00404,1.5349090099334717
hh,7,heron_herqules_futuristic,200,mwpm,0.22100820215836314,50000,0.02764,2.935482978820801
hh,7,heron_herqules_futuristic,400,mwpm,0.05072477893499516,50000,0.01108,2.2915608882904053
hh,7,heron_herqules_futuristic,600,mwpm,0.03397763774713358,50000,0.01144,4.075319290161133
hh,7,heron_herqules_futuristic,800,mwpm,0.03365302389666702,50000,0.01108,3.4660656452178955
hh,7,heron_herqules_futuristic,1000,mwpm,0.03281437895417039,50000,0.01148,3.087273597717285
hh,9,heron_herqules_futuristic,200,mwpm,0.22100820215836314,50000,0.08836,12.179546117782593
hh,9,heron_herqules_futuristic,400,mwpm,0.05072477893499516,50000,0.04512,10.987263202667236
hh,9,heron_herqules_futuristic,600,mwpm,0.03397763774713358,50000,0.04146,10.639170169830322
hh,9,heron_herqules_futuristic,800,mwpm,0.03365302389666702,50000,0.04046,9.394684791564941
hh,9,heron_herqules_futuristic,1000,mwpm,0.03281437895417039,50000,0.04016,6.790510177612305
hh,11,heron_herqules_futuristic,200,mwpm,0.22100820215836314,50000,0.25576,28.950445890426636
hh,11,heron_herqules_futuristic,400,mwpm,0.05072477893499516,50000,0.15126,27.096503496170044
hh,11,heron_herqules_futuristic,600,mwpm,0.03397763774713358,50000,0.14478,24.631627798080444
hh,11,heron_herqules_futuristic,800,mwpm,0.03365302389666702,50000,0.14712,25.891881465911865
hh,11,heron_herqules_futuristic,1000,mwpm,0.03281437895417039,50000,0.14816,24.79760456085205
hh,13,heron_herqules_futuristic,200,mwpm,0.22100820215836314,50000,0.45518,62.88460683822632
hh,13,heron_herqules_futuristic,400,mwpm,0.05072477893499516,50000,0.37678,47.222747802734375
hh,13,heron_herqules_futuristic,600,mwpm,0.03397763774713358,50000,0.36514,50.645198583602905
hh,13,heron_herqules_futuristic,800,mwpm,0.03365302389666702,50000,0.3691,48.81354284286499
hh,13,heron_herqules_futuristic,1000,mwpm,0.03281437895417039,50000,0.3685,50.90607213973999
steane,9,heron_herqules_futuristic,200,bposd,0.22100820215836314,5000,0.1014,92.80250000953674
steane,9,heron_herqules_futuristic,400,bposd,0.05072477893499516,5000,0.1038,79.90358018875122
