code,distance,noise_model,readout_ns,decoder,measure_error,num_shots,logical_error_rate,seconds
bacon,5,futuristic_fixedreadout,200,bposd,0.22100820215836314,5000,0.0026,1.5161175727844238
bacon,5,futuristic_fixedreadout,400,bposd,0.05072477893499516,5000,0.0016,1.4820818901062012
bacon,5,futuristic_fixedreadout,600,bposd,0.03397763774713358,5000,0.0022,1.6092398166656494
bacon,5,futuristic_fixedreadout,800,bposd,0.03365302389666702,5000,0.004,1.493994951248169
bacon,5,futuristic_fixedreadout,1000,bposd,0.03281437895417039,5000,0.0044,1.4228861331939697
bacon,7,futuristic_fixedreadout,200,bposd,0.22100820215836314,5000,0.0004,5.001549243927002
bacon,7,futuristic_fixedreadout,400,bposd,0.05072477893499516,5000,0.0004,5.027532339096069
bacon,7,futuristic_fixedreadout,600,bposd,0.03397763774713358,5000,0.0006,5.8115973472595215
bacon,7,futuristic_fixedreadout,800,bposd,0.03365302389666702,5000,0.0008,5.46117377281189
bacon,7,futuristic_fixedreadout,1000,bposd,0.03281437895417039,5000,0.0018,5.349644899368286
bacon,9,futuristic_fixedreadout,200,bposd,0.22100820215836314,5000,0.0012,20.241167306900024
bacon,9,futuristic_fixedreadout,400,bposd,0.05072477893499516,5000,0.001,21.345338821411133
bacon,9,futuristic_fixedreadout,600,bposd,0.03397763774713358,5000,0.0008,19.476152181625366
bacon,9,futuristic_fixedreadout,800,bposd,0.03365302389666702,5000,0.0006,14.941275119781494
bacon,9,futuristic_fixedreadout,1000,bposd,0.03281437895417039,5000,0.0002,21.974697589874268
bacon,11,futuristic_fixedreadout,200,bposd,0.22100820215836314,5000,0.0006,62.386608839035034
bacon,11,futuristic_fixedreadout,400,bposd,0.05072477893499516,5000,0.0006,67.0813422203064
bacon,11,futuristic_fixedreadout,600,bposd,0.03397763774713358,5000,0.0,58.09850025177002
bacon,11,futuristic_fixedreadout,800,bposd,0.03365302389666702,5000,0.0006,72.77564334869385
bacon,11,futuristic_fixedreadout,1000,bposd,0.03281437895417039,5000,0.0002,65.62865090370178
bacon,13,futuristic_fixedreadout,200,bposd,0.22100820215836314,5000,0.0006,148.57070922851562
bacon,13,futuristic_fixedreadout,400,bposd,0.05072477893499516,5000,0.0002,147.29114961624146
bacon,13,futuristic_fixedreadout,600,bposd,0.03397763774713358,5000,0.0008,151.9906461238861
bacon,13,futuristic_fixedreadout,800,bposd,0.03365302389666702,5000,0.0004,152.651771068573
