code,distance,noise_model,readout_ns,pct_faster_vs_1000ns,ler,ler_1000ns,ler_pct_diff_vs_1000ns
surface,5,heron_herqules,200,80,0.432800,0.039250,1002.7
surface,5,heron_herqules,400,60,0.065850,0.039250,67.8
surface,5,heron_herqules,600,40,0.040150,0.039250,2.3
surface,5,heron_herqules,800,20,0.041100,0.039250,4.7
surface,5,heron_herqules,1000,0,0.039250,0.039250,0.0
surface,7,heron_herqules,200,80,0.489800,0.139400,251.4
surface,7,heron_herqules,400,60,0.182950,0.139400,31.2
surface,7,heron_herqules,600,40,0.135800,0.139400,-2.6
surface,7,heron_herqules,800,20,0.139050,0.139400,-0.3
surface,7,heron_herqules,1000,0,0.139400,0.139400,0.0
surface,9,heron_herqules,200,80,0.504300,0.401850,25.5
surface,9,heron_herqules,400,60,0.430750,0.401850,7.2
surface,9,heron_herqules,600,40,0.401050,0.401850,-0.2
surface,9,heron_herqules,800,20,0.401550,0.401850,-0.1
surface,9,heron_herqules,1000,0,0.401850,0.401850,0.0
surface,11,heron_herqules,200,80,0.500950,0.496550,0.9
surface,11,heron_herqules,400,60,0.504750,0.496550,1.7
surface,11,heron_herqules,600,40,0.498850,0.496550,0.5
surface,11,heron_herqules,800,20,0.500650,0.496550,0.8
surface,11,heron_herqules,1000,0,0.496550,0.496550,0.0
surface,13,heron_herqules,200,80,0.499300,0.500600,-0.3
surface,13,heron_herqules,400,60,0.504700,0.500600,0.8
surface,13,heron_herqules,600,40,0.497350,0.500600,-0.6
surface,13,heron_herqules,800,20,0.500150,0.500600,-0.1
surface,13,heron_herqules,1000,0,0.500600,0.500600,0.0
bacon,5,heron_herqules,200,80,0.516400,0.474400,8.9
bacon,5,heron_herqules,400,60,0.509000,0.474400,7.3
bacon,5,heron_herqules,600,40,0.480800,0.474400,1.3
bacon,5,heron_herqules,800,20,0.464800,0.474400,-2.0
bacon,5,heron_herqules,1000,0,0.474400,0.474400,0.0
bacon,7,heron_herqules,200,80,0.491200,0.493600,-0.5
bacon,7,heron_herqules,400,60,0.494600,0.493600,0.2
bacon,7,heron_herqules,600,40,0.504600,0.493600,2.2
bacon,7,heron_herqules,800,20,0.500400,0.493600,1.4
bacon,7,heron_herqules,1000,0,0.493600,0.493600,0.0
bacon,9,heron_herqules,200,80,0.503800,0.499800,0.8
bacon,9,heron_herqules,400,60,0.505400,0.499800,1.1
bacon,9,heron_herqules,600,40,0.487800,0.499800,-2.4
bacon,9,heron_herqules,800,20,0.492800,0.499800,-1.4
bacon,9,heron_herqules,1000,0,0.499800,0.499800,0.0
bacon,11,heron_herqules,200,80,0.502800,0.500800,0.4
bacon,11,heron_herqules,400,60,0.496000,0.500800,-1.0
bacon,11,heron_herqules,600,40,0.491800,0.500800,-1.8
bacon,11,heron_herqules,800,20,0.501000,0.500800,0.0
bacon,11,heron_herqules,1000,0,0.500800,0.500800,0.0
bacon,13,heron_herqules,200,80,0.500200,0.496200,0.8
bacon,13,heron_herqules,400,60,0.515000,0.496200,3.8
bacon,13,heron_herqules,600,40,0.505200,0.496200,1.8
bacon,13,heron_herqules,800,20,0.495400,0.496200,-0.2
bacon,13,heron_herqules,1000,0,0.496200,0.496200,0.0
color,5,heron_herqules,200,80,0.456600,0.075600,504.0
color,5,heron_herqules,400,60,0.105200,0.075600,39.2
color,5,heron_herqules,600,40,0.072000,0.075600,-4.8
color,5,heron_herqules,800,20,0.074400,0.075600,-1.6
color,5,heron_herqules,1000,0,0.075600,0.075600,0.0
color,7,heron_herqules,200,80,0.490200,0.245800,99.4
color,7,heron_herqules,400,60,0.298800,0.245800,21.6
color,7,heron_herqules,600,40,0.253200,0.245800,3.0
color,7,heron_herqules,800,20,0.258800,0.245800,5.3
color,7,heron_herqules,1000,0,0.245800,0.245800,0.0
color,9,heron_herqules,200,80,0.496200,0.486000,2.1
color,9,heron_herqules,400,60,0.480200,0.486000,-1.2
color,9,heron_herqules,600,40,0.490000,0.486000,0.8
color,9,heron_herqules,800,20,0.494600,0.486000,1.8
color,9,heron_herqules,1000,0,0.486000,0.486000,0.0
color,11,heron_herqules,200,80,0.501400,0.486800,3.0
color,11,heron_herqules,400,60,0.510200,0.486800,4.8
color,11,heron_herqules,600,40,0.504800,0.486800,3.7
color,11,heron_herqules,800,20,0.509200,0.486800,4.6
color,11,heron_herqules,1000,0,0.486800,0.486800,0.0
color,13,heron_herqules,200,80,0.497000,0.506800,-1.9
color,13,heron_herqules,400,60,0.501000,0.506800,-1.1
color,13,heron_herqules,600,40,0.513200,0.506800,1.3
color,13,heron_herqules,800,20,0.498000,0.506800,-1.7
color,13,heron_herqules,1000,0,0.506800,0.506800,0.0
hh,5,heron_herqules,200,80,0.453850,0.082100,452.8
hh,5,heron_herqules,400,60,0.109100,0.082100,32.9
hh,5,heron_herqules,600,40,0.078750,0.082100,-4.1
hh,5,heron_herqules,800,20,0.085400,0.082100,4.0
hh,5,heron_herqules,1000,0,0.082100,0.082100,0.0
hh,7,heron_herqules,200,80,0.493500,0.262350,88.1
hh,7,heron_herqules,400,60,0.295850,0.262350,12.8
hh,7,heron_herqules,600,40,0.250850,0.262350,-4.4
hh,7,heron_herqules,800,20,0.253600,0.262350,-3.3
hh,7,heron_herqules,1000,0,0.262350,0.262350,0.0
hh,9,heron_herqules,200,80,0.494250,0.476050,3.8
hh,9,heron_herqules,400,60,0.486650,0.476050,2.2
hh,9,heron_herqules,600,40,0.474900,0.476050,-0.2
hh,9,heron_herqules,800,20,0.476300,0.476050,0.1
hh,9,heron_herqules,1000,0,0.476050,0.476050,0.0
hh,11,heron_herqules,200,80,0.497250,0.506400,-1.8
hh,11,heron_herqules,400,60,0.494950,0.506400,-2.3
hh,11,heron_herqules,600,40,0.496850,0.506400,-1.9
hh,11,heron_herqules,800,20,0.501300,0.506400,-1.0
hh,11,heron_herqules,1000,0,0.506400,0.506400,0.0
hh,13,heron_herqules,200,80,0.497550,0.503550,-1.2
hh,13,heron_herqules,400,60,0.501050,0.503550,-0.5
hh,13,heron_herqules,600,40,0.503850,0.503550,0.1
hh,13,heron_herqules,800,20,0.503750,0.503550,0.0
hh,13,heron_herqules,1000,0,0.503550,0.503550,0.0
steane,9,heron_herqules,200,80,0.347400,0.257400,35.0
steane,9,heron_herqules,400,60,0.250400,0.257400,-2.7
steane,9,heron_herqules,600,40,0.250000,0.257400,-2.9
steane,9,heron_herqules,800,20,0.237800,0.257400,-7.6
steane,9,heron_herqules,1000,0,0.257400,0.257400,0.0
gross,12,heron_herqules,200,80,1.000000,1.000000,0.0
gross,12,heron_herqules,400,60,1.000000,1.000000,0.0
gross,12,heron_herqules,600,40,1.000000,1.000000,0.0
gross,12,heron_herqules,800,20,1.000000,1.000000,0.0
gross,12,heron_herqules,1000,0,1.000000,1.000000,0.0
surface,5,readout_decoherence,200,80,0.445550,0.042600,945.9
surface,5,readout_decoherence,400,60,0.065950,0.042600,54.8
surface,5,readout_decoherence,600,40,0.039800,0.042600,-6.6
