variant,distance,readout_ns,logical_error_rate
backlog,5,200,0.42136
backlog,5,400,0.1448
backlog,5,600,0.0787
backlog,5,800,0.07238
backlog,5,1000,0.06976
backlog,7,200,0.48502
backlog,7,400,0.28968
backlog,7,600,0.19968
backlog,7,800,0.19044
backlog,7,1000,0.19492
backlog,9,200,0.50172
backlog,9,400,0.47036
backlog,9,600,0.44014
backlog,9,800,0.43364
backlog,9,1000,0.43052
backlog,11,200,0.49698
backlog,11,400,0.49898
backlog,11,600,0.5003
backlog,11,800,0.50126
backlog,11,1000,0.49532
backlog,13,200,0.50216
backlog,13,400,0.49912
backlog,13,600,0.50158
backlog,13,800,0.49856
backlog,13,1000,0.4979
baseline,5,200,0.41788
baseline,5,400,0.13724
baseline,5,600,0.07176
baseline,5,800,0.06108
baseline,5,1000,0.0596
baseline,7,200,0.48352
baseline,7,400,0.28094
baseline,7,600,0.18744
baseline,7,800,0.17488
baseline,7,1000,0.17034
baseline,9,200,0.4983
baseline,9,400,0.46788
baseline,9,600,0.43244
baseline,9,800,0.4248
baseline,9,1000,0.42784
baseline,11,200,0.49724
baseline,11,400,0.49902
baseline,11,600,0.50144
baseline,11,800,0.4992
baseline,11,1000,0.49746
baseline,13,200,0.5003
baseline,13,400,0.49862
baseline,13,600,0.50144
baseline,13,800,0.50098
baseline,13,1000,0.50312
rounds_5d,5,200,0.46454
rounds_5d,5,400,0.22864
rounds_5d,5,600,0.16192
rounds_5d,5,800,0.15088
rounds_5d,5,1000,0.15344
rounds_5d,7,200,0.50352
rounds_5d,7,400,0.47498
rounds_5d,7,600,0.43898
rounds_5d,7,800,0.4302
rounds_5d,7,1000,0.4331
rounds_5d,9,200,0.49886
rounds_5d,9,400,0.49902
rounds_5d,9,600,0.4959
rounds_5d,9,800,0.49898
rounds_5d,9,1000,0.49986
rounds_5d,11,200,0.4974
rounds_5d,11,400,0.49974
rounds_5d,11,600,0.50094
rounds_5d,11,800,0.50498
rounds_5d,11,1000,0.50222
rounds_5d,13,200,0.49892
rounds_5d,13,400,0.49786
rounds_5d,13,600,0.49858
rounds_5d,13,800,0.49952
rounds_5d,13,1000,0.5016
