tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
artifact,5,250,current,0.00354,0.000798
artifact,5,500,current,0.00354,0.001644
artifact,5,750,current,0.00354,0.00284
artifact,5,1000,current,0.00354,0.004424
artifact,5,1500,current,0.00354,0.008428
artifact,5,2000,current,0.00354,0.014646
artifact,5,250,futuristic,0.00035400000000000004,1e-05
artifact,5,500,futuristic,0.00035400000000000004,1.4e-05
artifact,5,750,futuristic,0.00035400000000000004,2.6e-05
artifact,5,1000,futuristic,0.00035400000000000004,8.2e-05
artifact,5,1500,futuristic,0.00035400000000000004,0.000124
artifact,5,2000,futuristic,0.00035400000000000004,0.00032
artifact,7,250,current,0.00354,0.000148
artifact,7,500,current,0.00354,0.000388
artifact,7,750,current,0.00354,0.000754
artifact,7,1000,current,0.00354,0.001372
artifact,7,1500,current,0.00354,0.003154
artifact,7,2000,current,0.00354,0.006492
artifact,7,250,futuristic,0.00035400000000000004,0.0
artifact,7,500,futuristic,0.00035400000000000004,0.0
artifact,7,750,futuristic,0.00035400000000000004,0.0
artifact,7,1000,futuristic,0.00035400000000000004,2e-06
artifact,7,1500,futuristic,0.00035400000000000004,6e-06
artifact,7,2000,futuristic,0.00035400000000000004,2.4e-05
artifact,9,250,current,0.00354,1.8e-05
artifact,9,500,current,0.00354,0.000106
artifact,9,750,current,0.00354,0.000206
artifact,9,1000,current,0.00354,0.000418
artifact,9,1500,current,0.00354,0.001268
artifact,9,2000,current,0.00354,0.00298
artifact,9,250,futuristic,0.00035400000000000004,0.0
artifact,9,500,futuristic,0.00035400000000000004,0.0
artifact,9,750,futuristic,0.00035400000000000004,0.0
artifact,9,1000,futuristic,0.00035400000000000004,0.0
artifact,9,1500,futuristic,0.00035400000000000004,0.0
artifact,9,2000,futuristic,0.00035400000000000004,0.0
artifact,11,250,current,0.00354,6e-06
artifact,11,500,current,0.00354,1e-05
artifact,11,750,current,0.00354,5.2e-05
artifact,11,1000,current,0.00354,0.000122
artifact,11,1500,current,0.00354,0.000414
artifact,11,2000,current,0.00354,0.0011
artifact,11,250,futuristic,0.00035400000000000004,0.0
artifact,11,500,futuristic,0.00035400000000000004,0.0
artifact,11,750,futuristic,0.00035400000000000004,0.0
artifact,11,1000,futuristic,0.00035400000000000004,0.0
artifact,11,1500,futuristic,0.00035400000000000004,0.0
artifact,11,2000,futuristic,0.00035400000000000004,0.0
artifact,13,250,current,0.00354,0.0
artifact,13,500,current,0.00354,0.0
artifact,13,750,current,0.00354,6e-06
artifact,13,1000,current,0.00354,3.6e-05
artifact,13,1500,current,0.00354,0.000152
artifact,13,2000,current,0.00354,0.00044
artifact,13,250,futuristic,0.00035400000000000004,0.0
artifact,13,500,futuristic,0.00035400000000000004,0.0
artifact,13,750,futuristic,0.00035400000000000004,0.0
artifact,13,1000,futuristic,0.00035400000000000004,0.0
artifact,13,1500,futuristic,0.00035400000000000004,0.0
artifact,13,2000,futuristic,0.00035400000000000004,0.0
eccentric,5,250,current,0.00354,0.24447
eccentric,5,500,current,0.00354,0.25978
eccentric,5,750,current,0.00354,0.27234
eccentric,5,1000,current,0.00354,0.28962
eccentric,5,1500,current,0.00354,0.31717
eccentric,5,2000,current,0.00354,0.34583
eccentric,5,250,futuristic,0.00035400000000000004,0.01368
eccentric,5,500,futuristic,0.00035400000000000004,0.01605
eccentric,5,750,futuristic,0.00035400000000000004,0.01631
eccentric,5,1000,futuristic,0.00035400000000000004,0.01644
eccentric,5,1500,futuristic,0.00035400000000000004,0.02081
eccentric,5,2000,futuristic,0.00035400000000000004,0.02341
eccentric,7,250,current,0.00354,0.67028
eccentric,7,500,current,0.00354,0.67568
eccentric,7,750,current,0.00354,0.67822
eccentric,7,1000,current,0.00354,0.6799
eccentric,7,1500,current,0.00354,0.6878
eccentric,7,2000,current,0.00354,0.68772
eccentric,7,250,futuristic,0.00035400000000000004,0.05486
eccentric,7,500,futuristic,0.00035400000000000004,0.05782
eccentric,7,750,futuristic,0.00035400000000000004,0.06168
eccentric,7,1000,futuristic,0.00035400000000000004,0.06462
eccentric,7,1500,futuristic,0.00035400000000000004,0.07076
eccentric,7,2000,futuristic,0.00035400000000000004,0.07492
eccentric,9,250,current,0.00354,0.7500666666666667
eccentric,9,500,current,0.00354,0.7504
eccentric,9,750,current,0.00354,0.7518666666666667
eccentric,9,1000,current,0.00354,0.7482666666666666
eccentric,9,1500,current,0.00354,0.7507333333333334
eccentric,9,2000,current,0.00354,0.7503
eccentric,9,250,futuristic,0.00035400000000000004,0.27526666666666666
eccentric,9,500,futuristic,0.00035400000000000004,0.28836666666666666
eccentric,9,750,futuristic,0.00035400000000000004,0.2927666666666667
eccentric,9,1000,futuristic,0.00035400000000000004,0.3014
eccentric,9,1500,futuristic,0.00035400000000000004,0.3139
eccentric,9,2000,futuristic,0.00035400000000000004,0.3263666666666667
eccentric,11,250,current,0.00354,0.75035
eccentric,11,500,current,0.00354,0.74755
eccentric,11,750,current,0.00354,0.74915
eccentric,11,1000,current,0.00354,0.74335
eccentric,11,1500,current,0.00354,0.74995
eccentric,11,2000,current,0.00354,0.7474
eccentric,11,250,futuristic,0.00035400000000000004,0.6653
eccentric,11,500,futuristic,0.00035400000000000004,0.6696
eccentric,11,750,futuristic,0.00035400000000000004,0.6677
eccentric,11,1000,futuristic,0.00035400000000000004,0.6721
eccentric,11,1500,futuristic,0.00035400000000000004,0.67395
