tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
eccentric,5,250,current,0.00354,0.24447
eccentric,5,500,current,0.00354,0.25978
eccentric,5,750,current,0.00354,0.27234
eccentric,5,1000,current,0.00354,0.28962
eccentric,5,1500,current,0.00354,0.31717
eccentric,5,2000,current,0.00354,0.34583
eccentric,5,250,futuristic,0.00035400000000000004,0.01368
eccentric,5,500,futuristic,0.00035400000000000004,0.01605
eccentric,5,750,futuristic,0.00035400000000000004,0.01631
eccentric,5,1000,futuristic,0.00035400000000000004,0.01644
eccentric,5,1500,futuristic,0.00035400000000000004,0.02081
eccentric,5,2000,futuristic,0.00035400000000000004,0.02341
eccentric,7,250,current,0.00354,0.67028
eccentric,7,500,current,0.00354,0.67568
eccentric,7,750,current,0.00354,0.67822
eccentric,7,1000,current,0.00354,0.6799
eccentric,7,1500,current,0.00354,0.6878
eccentric,7,2000,current,0.00354,0.68772
eccentric,7,250,futuristic,0.00035400000000000004,0.05486
eccentric,7,500,futuristic,0.00035400000000000004,0.05782
eccentric,7,750,futuristic,0.00035400000000000004,0.06168
eccentric,7,1000,futuristic,0.00035400000000000004,0.06462
eccentric,7,1500,futuristic,0.00035400000000000004,0.07076
eccentric,7,2000,futuristic,0.00035400000000000004,0.07492
eccentric,9,250,current,0.00354,0.7500666666666667
eccentric,9,500,current,0.00354,0.7504
eccentric,9,750,current,0.00354,0.7518666666666667
eccentric,9,1000,current,0.00354,0.7482666666666666
eccentric,9,1500,current,0.00354,0.7507333333333334
eccentric,9,2000,current,0.00354,0.7503
eccentric,9,250,futuristic,0.00035400000000000004,0.27526666666666666
eccentric,9,500,futuristic,0.00035400000000000004,0.28836666666666666
eccentric,9,750,futuristic,0.00035400000000000004,0.2927666666666667
eccentric,9,1000,futuristic,0.00035400000000000004,0.3014
eccentric,9,1500,futuristic,0.00035400000000000004,0.3139
eccentric,9,2000,futuristic,0.00035400000000000004,0.3263666666666667
eccentric,11,250,current,0.00354,0.75035
eccentric,11,500,current,0.00354,0.74755
eccentric,11,750,current,0.00354,0.74915
eccentric,11,1000,current,0.00354,0.74335
eccentric,11,1500,current,0.00354,0.74995
eccentric,11,2000,current,0.00354,0.7474
eccentric,11,250,futuristic,0.00035400000000000004,0.6653
eccentric,11,500,futuristic,0.00035400000000000004,0.6696
eccentric,11,750,futuristic,0.00035400000000000004,0.6677
eccentric,11,1000,futuristic,0.00035400000000000004,0.6721
eccentric,11,1500,futuristic,0.00035400000000000004,0.67395
eccentric,11,2000,futuristic,0.00035400000000000004,0.67865
eccentric,13,250,current,0.00354,0.7543333333333333
eccentric,13,500,current,0.00354,0.7456666666666667
eccentric,13,750,current,0.00354,0.7486666666666667
eccentric,13,1000,current,0.00354,0.7498
eccentric,13,1500,current,0.00354,0.7516666666666667
eccentric,13,2000,current,0.00354,0.7482666666666666
eccentric,13,250,futuristic,0.00035400000000000004,0.749
eccentric,13,500,futuristic,0.00035400000000000004,0.7411333333333333
eccentric,13,750,futuristic,0.00035400000000000004,0.7404
eccentric,13,1000,futuristic,0.00035400000000000004,0.7464666666666666
eccentric,13,1500,futuristic,0.00035400000000000004,0.7472666666666666
eccentric,13,2000,futuristic,0.00035400000000000004,0.7472666666666666
