tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
eccentric,5,200,current,0.2034041393624929,0.74629
eccentric,5,400,current,0.07895490215535028,0.6233
eccentric,5,600,current,0.05059445028330967,0.52293
eccentric,5,800,current,0.045084008455954505,0.50677
eccentric,5,1000,current,0.04283659147231211,0.50807
eccentric,5,200,futuristic,0.02034041393624929,0.04595
eccentric,5,400,futuristic,0.007895490215535029,0.02315
eccentric,5,600,futuristic,0.005059445028330967,0.02048
eccentric,5,800,futuristic,0.0045084008455954505,0.02242
eccentric,5,1000,futuristic,0.004283659147231211,0.02343
eccentric,7,200,current,0.2034041393624929,0.7508
eccentric,7,400,current,0.07895490215535028,0.7462
eccentric,7,600,current,0.05059445028330967,0.73596
eccentric,7,800,current,0.045084008455954505,0.73912
eccentric,7,1000,current,0.04283659147231211,0.7365
eccentric,7,200,futuristic,0.02034041393624929,0.135
eccentric,7,400,futuristic,0.007895490215535029,0.08278
eccentric,7,600,futuristic,0.005059445028330967,0.07746
eccentric,7,800,futuristic,0.0045084008455954505,0.07784
eccentric,7,1000,futuristic,0.004283659147231211,0.07966
eccentric,9,200,current,0.2034041393624929,0.7487333333333334
eccentric,9,400,current,0.07895490215535028,0.7485
eccentric,9,600,current,0.05059445028330967,0.7469333333333333
eccentric,9,800,current,0.045084008455954505,0.748
eccentric,9,1000,current,0.04283659147231211,0.7543
eccentric,9,200,futuristic,0.02034041393624929,0.46986666666666665
eccentric,9,400,futuristic,0.007895490215535029,0.3615
eccentric,9,600,futuristic,0.005059445028330967,0.3421
eccentric,9,800,futuristic,0.0045084008455954505,0.3376
eccentric,9,1000,futuristic,0.004283659147231211,0.34153333333333336
eccentric,11,200,current,0.2034041393624929,0.7499
eccentric,11,400,current,0.07895490215535028,0.74765
eccentric,11,600,current,0.05059445028330967,0.7501
eccentric,11,800,current,0.045084008455954505,0.7527
eccentric,11,1000,current,0.04283659147231211,0.75525
eccentric,11,200,futuristic,0.02034041393624929,0.7252
eccentric,11,400,futuristic,0.007895490215535029,0.69355
eccentric,11,600,futuristic,0.005059445028330967,0.68585
eccentric,11,800,futuristic,0.0045084008455954505,0.68825
eccentric,11,1000,futuristic,0.004283659147231211,0.68825
eccentric,13,200,current,0.2034041393624929,0.752
eccentric,13,400,current,0.07895490215535028,0.7504
eccentric,13,600,current,0.05059445028330967,0.7514
eccentric,13,800,current,0.045084008455954505,0.7494666666666666
eccentric,13,1000,current,0.04283659147231211,0.7486666666666667
eccentric,13,200,futuristic,0.02034041393624929,0.7512
eccentric,13,400,futuristic,0.007895490215535029,0.7487333333333334
eccentric,13,600,futuristic,0.005059445028330967,0.7506
eccentric,13,800,futuristic,0.0045084008455954505,0.7492
eccentric,13,1000,futuristic,0.004283659147231211,0.7528
