tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
eccentric,5,200,current,0.2034041393624929,0.74614
eccentric,5,400,current,0.07895490215535028,0.58412
eccentric,5,600,current,0.05059445028330967,0.45461
eccentric,5,800,current,0.045084008455954505,0.43243
eccentric,5,1000,current,0.04283659147231211,0.43565
eccentric,5,200,futuristic,0.02034041393624929,0.03643
eccentric,5,400,futuristic,0.007895490215535029,0.0162
eccentric,5,600,futuristic,0.005059445028330967,0.0139
eccentric,5,800,futuristic,0.0045084008455954505,0.01418
eccentric,5,1000,futuristic,0.004283659147231211,0.01496
eccentric,7,200,current,0.2034041393624929,0.75102
eccentric,7,400,current,0.07895490215535028,0.74778
eccentric,7,600,current,0.05059445028330967,0.73824
eccentric,7,800,current,0.045084008455954505,0.73768
eccentric,7,1000,current,0.04283659147231211,0.73648
eccentric,7,200,futuristic,0.02034041393624929,0.09894
eccentric,7,400,futuristic,0.007895490215535029,0.05688
eccentric,7,600,futuristic,0.005059445028330967,0.05186
eccentric,7,800,futuristic,0.0045084008455954505,0.05182
eccentric,7,1000,futuristic,0.004283659147231211,0.05158
eccentric,9,200,current,0.2034041393624929,0.7512666666666666
eccentric,9,400,current,0.07895490215535028,0.752
eccentric,9,600,current,0.05059445028330967,0.7521666666666667
eccentric,9,800,current,0.045084008455954505,0.7493
eccentric,9,1000,current,0.04283659147231211,0.7486
eccentric,9,200,futuristic,0.02034041393624929,0.38616666666666666
eccentric,9,400,futuristic,0.007895490215535029,0.27116666666666667
eccentric,9,600,futuristic,0.005059445028330967,0.258
eccentric,9,800,futuristic,0.0045084008455954505,0.2536333333333333
eccentric,9,1000,futuristic,0.004283659147231211,0.25583333333333336
eccentric,11,200,current,0.2034041393624929,0.75195
eccentric,11,400,current,0.07895490215535028,0.75305
eccentric,11,600,current,0.05059445028330967,0.75625
eccentric,11,800,current,0.045084008455954505,0.75055
eccentric,11,1000,current,0.04283659147231211,0.75055
eccentric,11,200,futuristic,0.02034041393624929,0.7216
eccentric,11,400,futuristic,0.007895490215535029,0.68495
eccentric,11,600,futuristic,0.005059445028330967,0.6647
eccentric,11,800,futuristic,0.0045084008455954505,0.66945
eccentric,11,1000,futuristic,0.004283659147231211,0.66945
eccentric,13,200,current,0.2034041393624929,0.7472
eccentric,13,400,current,0.07895490215535028,0.7473333333333333
eccentric,13,600,current,0.05059445028330967,0.7563333333333333
eccentric,13,800,current,0.045084008455954505,0.7473333333333333
eccentric,13,1000,current,0.04283659147231211,0.7503333333333333
eccentric,13,200,futuristic,0.02034041393624929,0.7464666666666666
eccentric,13,400,futuristic,0.007895490215535029,0.7524666666666666
eccentric,13,600,futuristic,0.005059445028330967,0.7549333333333333
eccentric,13,800,futuristic,0.0045084008455954505,0.753
eccentric,13,1000,futuristic,0.004283659147231211,0.7404666666666667
