tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
eccentric,5,200,current,0.22100820215836314,0.74854
eccentric,5,400,current,0.05072477893499516,0.51767
eccentric,5,600,current,0.03397763774713358,0.44034
eccentric,5,800,current,0.03365302389666702,0.45154
eccentric,5,1000,current,0.03281437895417039,0.45453
eccentric,5,200,futuristic,0.022100820215836314,0.0517
eccentric,5,400,futuristic,0.005072477893499516,0.0202
eccentric,5,600,futuristic,0.0033977637747133584,0.01954
eccentric,5,800,futuristic,0.0033653023896667023,0.02065
eccentric,5,1000,futuristic,0.0032814378954170386,0.02134
eccentric,7,200,current,0.22100820215836314,0.7481
eccentric,7,400,current,0.05072477893499516,0.7376
eccentric,7,600,current,0.03397763774713358,0.72796
eccentric,7,800,current,0.03365302389666702,0.72938
eccentric,7,1000,current,0.03281437895417039,0.72596
eccentric,7,200,futuristic,0.022100820215836314,0.14272
eccentric,7,400,futuristic,0.005072477893499516,0.07208
eccentric,7,600,futuristic,0.0033977637747133584,0.0694
eccentric,7,800,futuristic,0.0033653023896667023,0.07292
eccentric,7,1000,futuristic,0.0032814378954170386,0.07482
eccentric,9,200,current,0.22100820215836314,0.7512666666666666
eccentric,9,400,current,0.05072477893499516,0.7478666666666667
eccentric,9,600,current,0.03397763774713358,0.7517666666666667
eccentric,9,800,current,0.03365302389666702,0.7461333333333333
eccentric,9,1000,current,0.03281437895417039,0.7465666666666667
eccentric,9,200,futuristic,0.022100820215836314,0.486
eccentric,9,400,futuristic,0.005072477893499516,0.33213333333333334
eccentric,9,600,futuristic,0.0033977637747133584,0.3219666666666667
eccentric,9,800,futuristic,0.0033653023896667023,0.33136666666666664
eccentric,9,1000,futuristic,0.0032814378954170386,0.3350666666666667
eccentric,11,200,current,0.22100820215836314,0.754
eccentric,11,400,current,0.05072477893499516,0.74725
eccentric,11,600,current,0.03397763774713358,0.74675
eccentric,11,800,current,0.03365302389666702,0.7526
eccentric,11,1000,current,0.03281437895417039,0.7509
eccentric,11,200,futuristic,0.022100820215836314,0.7255
eccentric,11,400,futuristic,0.005072477893499516,0.6828
eccentric,11,600,futuristic,0.0033977637747133584,0.67685
eccentric,11,800,futuristic,0.0033653023896667023,0.68155
eccentric,11,1000,futuristic,0.0032814378954170386,0.68515
eccentric,13,200,current,0.22100820215836314,0.7516
eccentric,13,400,current,0.05072477893499516,0.7544
eccentric,13,600,current,0.03397763774713358,0.7452666666666666
eccentric,13,800,current,0.03365302389666702,0.7482
eccentric,13,1000,current,0.03281437895417039,0.7498
eccentric,13,200,futuristic,0.022100820215836314,0.7529333333333333
eccentric,13,400,futuristic,0.005072477893499516,0.7501333333333333
eccentric,13,600,futuristic,0.0033977637747133584,0.7537333333333334
eccentric,13,800,futuristic,0.0033653023896667023,0.7480666666666667
eccentric,13,1000,futuristic,0.0032814378954170386,0.7442666666666666
