tool,distance,readout_ns,noise_model,measure_error,logical_error_rate
eccentric,5,200,current,0.22100820215836314,0.74908
eccentric,5,400,current,0.05072477893499516,0.45001
eccentric,5,600,current,0.03397763774713358,0.36084
eccentric,5,800,current,0.03365302389666702,0.37018
eccentric,5,1000,current,0.03281437895417039,0.37135
eccentric,5,200,futuristic,0.022100820215836314,0.04249
eccentric,5,400,futuristic,0.005072477893499516,0.01359
eccentric,5,600,futuristic,0.0033977637747133584,0.0128
eccentric,5,800,futuristic,0.0033653023896667023,0.01282
eccentric,5,1000,futuristic,0.0032814378954170386,0.01358
eccentric,7,200,current,0.22100820215836314,0.75042
eccentric,7,400,current,0.05072477893499516,0.73634
eccentric,7,600,current,0.03397763774713358,0.72238
eccentric,7,800,current,0.03365302389666702,0.72096
eccentric,7,1000,current,0.03281437895417039,0.72472
eccentric,7,200,futuristic,0.022100820215836314,0.10246
eccentric,7,400,futuristic,0.005072477893499516,0.04762
eccentric,7,600,futuristic,0.0033977637747133584,0.04558
eccentric,7,800,futuristic,0.0033653023896667023,0.04802
eccentric,7,1000,futuristic,0.0032814378954170386,0.04786
eccentric,9,200,current,0.22100820215836314,0.7467333333333334
eccentric,9,400,current,0.05072477893499516,0.7508666666666667
eccentric,9,600,current,0.03397763774713358,0.7484333333333333
eccentric,9,800,current,0.03365302389666702,0.7476333333333334
eccentric,9,1000,current,0.03281437895417039,0.7537333333333334
eccentric,9,200,futuristic,0.022100820215836314,0.3936
eccentric,9,400,futuristic,0.005072477893499516,0.24713333333333334
eccentric,9,600,futuristic,0.0033977637747133584,0.24026666666666666
eccentric,9,800,futuristic,0.0033653023896667023,0.24143333333333333
eccentric,9,1000,futuristic,0.0032814378954170386,0.24843333333333334
eccentric,11,200,current,0.22100820215836314,0.7534
eccentric,11,400,current,0.05072477893499516,0.75265
eccentric,11,600,current,0.03397763774713358,0.7465
eccentric,11,800,current,0.03365302389666702,0.7554
eccentric,11,1000,current,0.03281437895417039,0.74785
eccentric,11,200,futuristic,0.022100820215836314,0.72555
eccentric,11,400,futuristic,0.005072477893499516,0.66385
eccentric,11,600,futuristic,0.0033977637747133584,0.6639
eccentric,11,800,futuristic,0.0033653023896667023,0.66845
eccentric,11,1000,futuristic,0.0032814378954170386,0.66605
eccentric,13,200,current,0.22100820215836314,0.7541333333333333
eccentric,13,400,current,0.05072477893499516,0.7490666666666667
eccentric,13,600,current,0.03397763774713358,0.7476666666666667
eccentric,13,800,current,0.03365302389666702,0.7487333333333334
eccentric,13,1000,current,0.03281437895417039,0.7510666666666667
eccentric,13,200,futuristic,0.022100820215836314,0.7465333333333334
eccentric,13,400,futuristic,0.005072477893499516,0.7535333333333334
eccentric,13,600,futuristic,0.0033977637747133584,0.7456666666666667
eccentric,13,800,futuristic,0.0033653023896667023,0.7494
eccentric,13,1000,futuristic,0.0032814378954170386,0.7562
