backend,backend_size,code,decoder,distance,cycles,num_samples,error_type,error_probability,logical_error_rate,layout_method,routing_method,translating_method
real_flamingo_1_qpu,,surface,bposd,7,7,1000,real_flamingo_downscaled,,0.024,N/A,N/A,N/A
real_flamingo_1_qpu,,hh,bposd,7,7,1000,real_flamingo_downscaled,,0.135,N/A,N/A,N/A
real_flamingo_1_qpu,,surface,bposd,7,7,1000,real_flamingo,,0.290,N/A,N/A,N/A
real_flamingo_1_qpu,,hh,bposd,7,7,1000,real_flamingo,,0.429,N/A,N/A,N/A
real_flamingo,,steane,bposd,9,9,1000,real_flamingo_downscaled,,0.063,N/A,N/A,N/A
real_flamingo_1_qpu,,steane,bposd,9,9,1000,real_flamingo_downscaled,,0.048,N/A,N/A,N/A
real_flamingo_1_qpu,,bacon,bposd,11,11,1000,real_flamingo_downscaled,,0.358,N/A,N/A,N/A
real_flamingo_1_qpu,,bacon,bposd,11,11,1000,real_flamingo,,0.480,N/A,N/A,N/A
real_flamingo,,steane,bposd,9,9,1000,real_flamingo,,0.044,N/A,N/A,N/A
real_flamingo_1_qpu,,steane,bposd,9,9,1000,real_flamingo,,0.135,N/A,N/A,N/A
real_flamingo_1_qpu,,color,bposd,7,7,1000,real_flamingo_downscaled,,0.301,N/A,N/A,N/A
real_flamingo_1_qpu,,color,bposd,7,7,1000,real_flamingo,,0.451,N/A,N/A,N/A
real_flamingo,,hh,bposd,11,11,1000,real_flamingo,,0.510,N/A,N/A,N/A
real_flamingo,,hh,bposd,11,11,1000,real_flamingo_downscaled,,0.461,N/A,N/A,N/A
real_flamingo,,bacon,bposd,19,19,1000,real_flamingo_downscaled,,0.521,N/A,N/A,N/A
real_flamingo,,bacon,bposd,19,19,1000,real_flamingo,,0.513,N/A,N/A,N/A
real_flamingo,,surface,bposd,13,13,1000,real_flamingo_downscaled,,0.368,N/A,N/A,N/A
real_flamingo,,surface,bposd,13,13,1000,real_flamingo,,0.499,N/A,N/A,N/A
real_flamingo,,color,bposd,13,13,1000,real_flamingo_downscaled,,0.518,N/A,N/A,N/A
real_flamingo,,color,bposd,13,13,1000,real_flamingo,,0.492,N/A,N/A,N/A
